PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Yuta Watanabe,PHX,29,81,215,George Washington,Japan,Undrafted,Undrafted,Undrafted,26,3.7,1.7,0.4,-4.7,2.9,8.5,12.9,48.7,3.7
Scotty Pippen Jr.,MEM,23,73,170,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,3,7.3,3.3,3.7,12.2,4.5,14.5,20.9,64.4,35.5
Craig Porter Jr.,CLE,23,73,180,Wichita State,USA,Undrafted,Undrafted,Undrafted,29,7.1,2.7,3.1,2.9,3.3,13.8,20.4,56.2,27
Javon Freeman-Liberty,TOR,24,75,190,DePaul,USA,Undrafted,Undrafted,Undrafted,2,1,0.5,0,-75,14.3,0,30,33.3,0
Amir Coffey,LAC,26,79,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,32,4.8,1.7,0.7,-1.9,2.4,7.7,10.1,67.6,5.3
Pat Connaughton,MIL,31,77,209,Notre Dame,USA,2015,2,41,40,5.5,3.2,1.7,1,3.1,11.9,9.9,59.8,9.9
Jay Huff,DEN,26,85,240,Virginia,USA,Undrafted,Undrafted,Undrafted,6,1.2,0.2,0.2,-15.4,0,9.1,16.3,58.3,12.5
Trendon Watford,BKN,23,80,237,Louisiana State,USA,Undrafted,Undrafted,Undrafted,31,5.7,2.9,1.6,6.8,7.4,15.2,18.7,60.2,17.5
Isaiah Mobley,CLE,24,80,238,Southern California,USA,2022,2,49,3,1.7,0.7,1.3,-21.4,0,25,15.6,62.5,44.4
Alex Fudge,LAL,20,80,200,Florida,USA,Undrafted,Undrafted,Undrafted,4,1,0.5,0,-77.3,13.3,0,21.1,29.1,0
Jamal Murray,DEN,26,76,215,Kentucky,Canada,2016,1,7,33,20.9,3.9,6.5,7,1.9,10.5,26.9,58.3,29.7
Juan Toscano-Anderson,SAC,30,78,209,Marquette,USA,Undrafted,Undrafted,Undrafted,11,0.6,1.3,0.4,-0.1,6.8,16.7,10.6,29.2,10.8
Noah Clowney,BKN,19,81,210,Alabama,USA,2023,1,21,2,7,2.5,1,-47.5,8.8,9.5,16.2,70.9,12.5
Cedi Osman,SAS,28,79,230,None,Turkey,2015,2,31,46,7.1,2.6,1.8,-15.1,1.9,12.2,15.1,59.4,14.5
De'Andre Hunter,ATL,26,80,221,Virginia,USA,2019,1,4,24,14.9,4.1,1.4,-2.2,2,11.7,18.4,60.1,6.1
Trae Young,ATL,25,73,164,Oklahoma,USA,2018,1,5,41,27,2.9,10.8,-2.1,1.2,6.6,30,57.8,44.2
Sam Hauser,BOS,26,79,217,Virginia,USA,Undrafted,Undrafted,Undrafted,45,8,3.6,1,8.6,3,12.3,13.5,62.1,6.5
Jaylen Nowell,MEM,24,76,201,Washington,USA,2019,2,43,9,5.7,1.6,1.8,-0.6,1.8,6.7,16.2,45.3,14.5
KJ Martin,PHI,23,78,215,None,USA,2020,2,52,30,2.3,1,0.5,-0.7,2.6,8.9,12.8,51.5,9.2
Malik Beasley,MIL,27,76,187,Florida State,USA,2016,1,19,44,11.3,4,1.4,6.8,2.2,10,13.3,65.2,5.9
Danuel House Jr.,PHI,30,78,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted,29,4.1,1.6,0.8,5.3,2.8,7.8,12,57.1,7.5
AJ Green,MIL,24,76,190,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,28,3.3,0.8,0.6,2.7,2.7,7.4,14.9,61.5,9.9
Devin Vassell,SAS,23,77,200,Florida State,USA,2020,1,11,41,18.1,3.5,3.6,-6.1,1.1,9.8,21.9,58.2,17.4
Trey Jemison,WAS,24,82,260,Alabama-Birmingham,USA,Undrafted,Undrafted,Undrafted,2,0,0.5,0,75,0,50,25,0,0
Chris Duarte,SAC,26,77,190,Oregon,Dominican Republic,2021,1,13,35,3.7,1.8,0.9,-1.7,2.7,11.4,14.2,47.6,8.8
James Johnson,IND,36,79,240,Wake Forest,USA,2009,1,16,5,0.8,0.8,1,14.8,4,15,10.9,40,20
Taylor Hendricks,UTA,20,81,215,Central Florida,USA,2023,1,9,13,4.9,2.2,0.5,1.6,5.9,9,15.5,52,4.1
Keegan Murray,SAC,23,80,225,Iowa,USA,2022,1,4,40,16,5.5,1.6,1.9,3.9,12.9,18.7,57.6,6.7
Nikola Jokic,DEN,28,83,284,None,Serbia,2014,2,41,46,26.3,12,8.9,10.1,9.5,26.8,29.1,66.1,40.7
Julian Strawther,DEN,21,78,205,Gonzaga,USA,2023,1,29,33,5.9,1.5,1.1,-10.8,0.8,9.4,18.7,50,11.3
Jaden Ivey,DET,21,76,195,Purdue,USA,2022,1,5,42,14.3,3.8,3.7,-7.7,5,9.3,23.4,55,19.4
Leonard Miller,MIN,20,82,210,None,Canada,2023,2,33,5,2.6,1.8,0.2,-41.3,0,50,22.2,72.2,14.3
Thanasis Antetokounmpo,MIL,31,79,219,None,Greece,2014,2,51,19,0.7,0.4,0.5,-5.6,6.3,4.5,12.4,50,14.8
Orlando Robinson,MIA,23,82,235,Fresno State,USA,Undrafted,Undrafted,Undrafted,20,4.2,3.1,1.4,5.3,8.6,19.9,15.4,60.3,16.8
Maxi Kleber,DAL,32,82,240,None,Germany,Undrafted,Undrafted,Undrafted,11,3.9,3.3,1.6,-8.6,4.1,14.5,11.4,47,12.1
Rudy Gobert,MIN,31,85,258,None,France,2013,1,27,45,13.4,12.4,1.2,9.3,11.3,25.4,15.6,65.5,5.2
Josh Richardson,MIA,30,77,200,Tennessee,USA,2015,2,40,36,9.6,2.7,2.5,-5.8,1.6,9,15.7,55.8,14.7
Isaiah Hartenstein,NYK,25,85,250,None,Germany,2017,2,43,44,6.5,8.4,1.9,9.4,12.7,19.9,10.1,64.2,9.5
Franz Wagner,ORL,22,82,220,Michigan,Germany,2021,1,8,38,20.4,5.7,3.9,1.5,3.2,14,25.2,56.2,19.2
Jordan Clarkson,UTA,31,75,194,Missouri,USA,2014,2,46,37,18,3.6,5,-2.3,3.3,8.4,26.7,52.8,25.2
Dereck Lively II,DAL,19,85,230,Duke,USA,2023,1,12,35,8.9,7.8,1.3,4.8,11.2,18.2,11.9,72.3,6.6
Kobe Bufkin,ATL,20,77,195,Michigan,USA,2023,1,15,2,0.5,1,0,-126.4,16.7,100,33.3,12.9,0
Chet Holmgren,OKC,21,85,208,Gonzaga,USA,2022,1,2,46,17,7.5,2.7,9.2,5.2,18.1,21,63.4,12.3
GG Jackson,MEM,19,81,210,South Carolina,USA,2023,2,45,14,8.1,2.6,0.6,6.7,4.8,12.2,18.7,67.5,6.7
P.J. Tucker,LAC,38,77,245,Texas,USA,2006,2,35,15,1.3,2.9,0.5,-0.5,6.6,11.3,4.3,49.2,4.3
Dru Smith,MIA,26,74,203,Missouri,USA,Undrafted,Undrafted,Undrafted,9,4.3,1.6,1.6,-15,4.1,5.8,12.8,57.6,18.7
Dyson Daniels,NOP,20,79,199,None,Australia,2022,1,8,46,5.5,3.7,2.7,4.6,4.5,12.2,12.5,50.6,15.6
Isaiah Livers,WAS,25,78,232,Michigan,USA,2021,2,42,23,5,2.1,1.1,-19.3,3,7.3,12.2,46,7.1
Hamidou Diallo,WAS,25,77,202,Kentucky,USA,2018,2,45,2,1,1,0.5,31.8,18.2,0,18.8,50,33.3
Dean Wade,CLE,27,81,228,Kansas State,USA,Undrafted,Undrafted,Undrafted,36,5.9,4.5,0.8,8.2,3.7,15.9,9.8,62.2,5
Damian Jones,CLE,28,82,245,Vanderbilt,USA,2016,1,30,20,2,1.3,0.4,-14.2,5.6,15.1,12.8,61.9,8.9
Cody Martin,CHA,28,78,205,Nevada,USA,2019,2,36,14,6.8,3.3,2.6,-14.1,3.3,10,14.8,43.1,13.8
Norman Powell,LAC,30,76,215,UCLA,USA,2015,2,46,44,13.3,2.5,1,7.6,0.6,9,18.6,63.8,5.4
Jaden McDaniels,MIN,23,81,185,Washington,USA,2020,1,28,36,10.9,2.7,1.3,5.7,2.5,6.9,15.6,60.2,6
Duncan Robinson,MIA,29,79,215,Michigan,USA,Undrafted,Undrafted,Undrafted,44,13.5,2.5,2.9,0.6,0.9,8.3,19.1,61.4,15.7
Cam Thomas,BKN,22,75,210,Louisiana State,Japan,2021,1,27,36,21,2.6,2.4,-5.7,0.7,8.2,30,54.7,13.5
Delon Wright,WAS,31,77,185,Utah,USA,2015,1,20,24,4.5,2.1,3,-3.6,2.4,10,13.3,48.3,25.3
Dorian Finney-Smith,BKN,30,79,220,Florida,USA,Undrafted,Undrafted,Undrafted,42,9.1,4.8,1.4,-1.1,5.5,10.4,13.5,54.8,6.8
Jordan Hawkins,NOP,21,77,190,Connecticut,USA,2023,1,14,41,10.8,2.8,1.4,-1.1,2.5,10.1,19.3,57.2,9.1
Giannis Antetokounmpo,MIL,29,83,243,None,Greece,2013,1,15,44,31,11.7,6.2,8.3,7.6,23.9,32.1,64.7,29.1
RJ Barrett,TOR,23,78,214,Duke,Canada,2019,1,3,39,19.2,5.2,2.8,-1.6,2.7,13.9,25.7,56.2,13.4
Bruce Brown,TOR,27,76,202,Miami,USA,2018,2,42,38,11.8,4.9,2.8,1.8,3.1,13.7,16.1,56.7,11.5
LeBron James,LAL,39,81,250,None,USA,2003,1,1,42,25,7.5,7.6,1.9,2.7,18,28.8,61.3,34.8
Keyontae Johnson,OKC,23,76,230,Kansas State,USA,2023,2,50,6,1.5,1,0.7,3.1,6.5,7,12.7,40.9,11.1
Onuralp Bitim,CHI,24,78,215,None,Turkey,Undrafted,Undrafted,Undrafted,1,0,0,0,-45.2,0,0,0,0,0
Lauri Markkanen,UTA,26,85,240,Arizona,Finland,2017,1,7,37,24,8.8,1.9,4.4,7.1,18.8,24.3,64.8,8.8
Robert Covington,PHI,33,79,209,Tennessee State,USA,Undrafted,Undrafted,Undrafted,29,4.4,3.3,0.8,12.1,6.4,12.7,10.4,58,6.4
Sandro Mamukelashvili,SAS,24,81,240,Seton Hall,Georgia,2021,2,54,26,2.6,1.9,1,-0.1,7.8,19.2,16.9,51.5,20.2
JaVale McGee,SAC,36,85,270,Nevada,USA,2008,1,18,34,4.6,2.9,0.4,-1.1,11,23.1,21.2,65.1,7.6
Harrison Barnes,SAC,31,80,225,North Carolina,USA,2012,1,7,44,11.9,2.9,1.3,-1.9,2.8,7.2,14.1,63.8,5.5
Oscar Tshiebwe,IND,24,80,255,Kentucky,DRC,Undrafted,Undrafted,Undrafted,6,3.5,2,0.3,15.4,15.8,24,20,56.3,7.7
Dalano Banton,BOS,24,80,204,Nebraska,Canada,2021,2,46,22,2.5,1.5,0.7,1.8,6.7,11.5,16,49.2,14.2
Tyrese Haliburton,IND,23,77,185,Iowa State,USA,2020,1,12,34,23.6,4.1,12.6,6.7,1.8,10.3,25.2,63.2,50.1
Torrey Craig,CHI,33,77,221,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted,27,6.1,4.8,1,-7.7,7.6,14.5,12,55.3,6.8
Victor Wembanyama,SAS,20,88,210,None,France,2023,1,1,40,20.5,10.1,3.1,-5.1,7.5,26.6,31.1,55.8,17.4
Cameron Johnson,BKN,27,80,210,North Carolina,USA,2019,1,11,36,13.8,4.6,2.6,-2,3.6,12.3,19,57.5,13.7
Bam Adebayo,MIA,26,81,255,Kentucky,USA,2017,1,14,36,21,10.5,4.2,-3.2,6.5,24,26.4,56.7,21.1
Russell Westbrook,LAC,35,76,200,UCLA,USA,2008,1,4,44,11.3,5.8,4.7,2.8,6.8,17.6,23.3,52.3,29.1
