C,DB,DE,DT,K,LB,LS,OG,OT,P,QB,RB,TE,WR
,185,254,300,,240,,316,321,,,223,245,205
,190,270,260,,252,,316,319,,,226,250,211
,180,308,300,,241,,325,304,,,247,260,187
,199,265,312,,214,,314,320,,,220,212,218
,202,287,300,,232,,319,327,,,220,221,215
,198,270,302,,232,,303,320,,,255,241,215
,200,264,311,,230,,310,309,,,217,231,170
,190,289,307,,246,,305,334,,,204,250,195
,195,280,275,,235,,313,326,,,208,244,204
,195,300,330,,230,,310,333,,,199,237,187
,196,281,315,,254,,303,316,,,219,255,210
,190,283,335,,225,,332,310,,,220,265,170
,190,291,287,,237,,310,332,,,212,247,197
,200,286,305,,240,,332,305,,,215,255,200
,202,283,291,,257,,295,328,,,195,235,200
,212,300,305,,230,,321,318,,,220,246,205
,190,295,314,,246,,312,354,,,190,273,186
,207,252,330,,233,,336,295,,,207,260,190
,203,288,289,,235,,317,335,,,210,262,214
,190,275,338,,270,,318,330,,,210,245,215
,196,281,307,,240,,319,300,,,206,253,200
,190,295,295,,250,,323,293,,,218,251,165
,196,300,309,,227,,332,315,,,215,255,215
,198,281,310,,240,,,317,,,206,245,185
,208,285,290,,237,,,322,,,245,251,210
,208,,325,,250,,,324,,,224,246,197
,208,,305,,236,,,311,,,220,250,218
,203,,300,,227,,,323,,,225,247,210
,185,,287,,234,,,306,,,198,,208
,196,,294,,240,,,310,,,195,,194
,192,,294,,224,,,310,,,205,,205
,190,,272,,230,,,335,,,214,,189
,195,,309,,228,,,313,,,201,,200
,210,,300,,223,,,315,,,223,,200
,193,,315,,239,,,343,,,233,,220
,195,,305,,236,,,323,,,217,,195
,190,,295,,245,,,309,,,215,,153
,183,,305,,229,,,306,,,201,,172
,198,,320,,220,,,317,,,213,,215
,215,,305,,280,,,305,,,195,,220
,181,,321,,269,,,320,,,214,,185
,190,,324,,231,,,325,,,194,,200
,209,,315,,225,,,314,,,214,,185
,191,,280,,230,,,300,,,211,,198
,217,,295,,269,,,324,,,210,,185
,203,,290,,244,,,325,,,,,190
,181,,312,,240,,,305,,,,,200
,190,,280,,234,,,321,,,,,196
,215,,347,,266,,,329,,,,,226
,194,,293,,255,,,312,,,,,208
,200,,296,,244,,,315,,,,,173
,210,,313,,245,,,335,,,,,184
,189,,318,,254,,,305,,,,,176
,190,,286,,240,,,310,,,,,170
,193,,338,,240,,,305,,,,,237
,205,,309,,232,,,316,,,,,200
,202,,290,,239,,,308,,,,,189
,197,,318,,220,,,313,,,,,195
,192,,296,,245,,,318,,,,,225
,206,,324,,239,,,305,,,,,198
,200,,307,,238,,,313,,,,,210
,213,,297,,235,,,311,,,,,177
,178,,292,,252,,,314,,,,,205
,208,,276,,230,,,302,,,,,212
,202,,325,,250,,,330,,,,,211
,195,,306,,245,,,285,,,,,190
,183,,306,,248,,,300,,,,,222
,193,,268,,232,,,321,,,,,210
,220,,304,,234,,,305,,,,,215
,190,,319,,235,,,320,,,,,185
,202,,330,,238,,,315,,,,,180
,179,,,,241,,,311,,,,,215
,191,,,,258,,,294,,,,,191
,185,,,,230,,,322,,,,,210
,210,,,,274,,,316,,,,,210
,188,,,,260,,,307,,,,,202
,206,,,,228,,,325,,,,,180
,206,,,,225,,,328,,,,,199
,215,,,,233,,,,,,,,180
,199,,,,231,,,,,,,,195
,193,,,,252,,,,,,,,204
,207,,,,260,,,,,,,,174
,203,,,,238,,,,,,,,204
,195,,,,265,,,,,,,,213
,193,,,,255,,,,,,,,189
,197,,,,231,,,,,,,,187
,200,,,,224,,,,,,,,208
,189,,,,248,,,,,,,,206
,198,,,,250,,,,,,,,201
,197,,,,236,,,,,,,,212
,195,,,,226,,,,,,,,175
,195,,,,241,,,,,,,,195
,195,,,,230,,,,,,,,190
,175,,,,234,,,,,,,,181
,202,,,,250,,,,,,,,206
,205,,,,240,,,,,,,,186
,195,,,,231,,,,,,,,191
,195,,,,253,,,,,,,,188
,213,,,,234,,,,,,,,195
,195,,,,253,,,,,,,,208
,195,,,,267,,,,,,,,213
,191,,,,200,,,,,,,,177
,190,,,,224,,,,,,,,200
,180,,,,230,,,,,,,,181
,197,,,,227,,,,,,,,198
,207,,,,243,,,,,,,,185
,215,,,,227,,,,,,,,186
,212,,,,235,,,,,,,,190
,195,,,,237,,,,,,,,202
,191,,,,214,,,,,,,,213
,196,,,,238,,,,,,,,227
,185,,,,240,,,,,,,,220
,199,,,,226,,,,,,,,195
,201,,,,234,,,,,,,,155
,180,,,,245,,,,,,,,190
,216,,,,235,,,,,,,,205
,191,,,,229,,,,,,,,220
,188,,,,250,,,,,,,,183
,197,,,,258,,,,,,,,220
,182,,,,277,,,,,,,,200
,195,,,,228,,,,,,,,195
,190,,,,227,,,,,,,,187
,212,,,,250,,,,,,,,206
,195,,,,241,,,,,,,,179
,205,,,,230,,,,,,,,215
,217,,,,264,,,,,,,,187
,205,,,,232,,,,,,,,180
,195,,,,271,,,,,,,,170
,205,,,,226,,,,,,,,231
,194,,,,235,,,,,,,,192
,190,,,,234,,,,,,,,192
,200,,,,259,,,,,,,,221
,190,,,,230,,,,,,,,190
,175,,,,264,,,,,,,,194
,200,,,,248,,,,,,,,209
,195,,,,247,,,,,,,,170
,185,,,,285,,,,,,,,204
,205,,,,231,,,,,,,,198
,210,,,,256,,,,,,,,178
,200,,,,240,,,,,,,,175
,205,,,,247,,,,,,,,205
,214,,,,225,,,,,,,,200
,192,,,,235,,,,,,,,215
,180,,,,235,,,,,,,,180
,193,,,,252,,,,,,,,175
,183,,,,256,,,,,,,,210
,203,,,,238,,,,,,,,165
,211,,,,232,,,,,,,,205
,198,,,,275,,,,,,,,208
,210,,,,235,,,,,,,,205
,184,,,,240,,,,,,,,203
,195,,,,230,,,,,,,,174
,193,,,,266,,,,,,,,204
,188,,,,240,,,,,,,,208
,207,,,,260,,,,,,,,189
,170,,,,236,,,,,,,,207
,190,,,,244,,,,,,,,182
,210,,,,258,,,,,,,,235
,197,,,,230,,,,,,,,224
,182,,,,235,,,,,,,,197
,190,,,,250,,,,,,,,215
,191,,,,235,,,,,,,,222
,220,,,,265,,,,,,,,228
,196,,,,257,,,,,,,,205
,200,,,,234,,,,,,,,
,220,,,,254,,,,,,,,
,197,,,,230,,,,,,,,
,192,,,,248,,,,,,,,
,195,,,,240,,,,,,,,
,213,,,,243,,,,,,,,
,200,,,,233,,,,,,,,
,182,,,,230,,,,,,,,
,200,,,,228,,,,,,,,
,210,,,,242,,,,,,,,
,205,,,,215,,,,,,,,
,185,,,,220,,,,,,,,
,180,,,,255,,,,,,,,
,180,,,,233,,,,,,,,
,212,,,,270,,,,,,,,
,200,,,,225,,,,,,,,
,200,,,,271,,,,,,,,
,196,,,,252,,,,,,,,
,200,,,,259,,,,,,,,
,210,,,,230,,,,,,,,
,207,,,,240,,,,,,,,
,215,,,,230,,,,,,,,
,204,,,,245,,,,,,,,
,200,,,,229,,,,,,,,
,190,,,,240,,,,,,,,
,205,,,,260,,,,,,,,
,178,,,,262,,,,,,,,
,199,,,,253,,,,,,,,
,203,,,,250,,,,,,,,
,206,,,,225,,,,,,,,
,185,,,,244,,,,,,,,
,200,,,,234,,,,,,,,
,203,,,,233,,,,,,,,
,187,,,,232,,,,,,,,
,202,,,,248,,,,,,,,
,189,,,,228,,,,,,,,
,210,,,,253,,,,,,,,
,191,,,,235,,,,,,,,
,207,,,,310,,,,,,,,
,192,,,,235,,,,,,,,
,196,,,,266,,,,,,,,
,206,,,,230,,,,,,,,
,196,,,,235,,,,,,,,
,198,,,,250,,,,,,,,
,201,,,,222,,,,,,,,
,200,,,,227,,,,,,,,
,216,,,,275,,,,,,,,
,193,,,,263,,,,,,,,
,194,,,,254,,,,,,,,
,189,,,,230,,,,,,,,
,200,,,,233,,,,,,,,
,205,,,,261,,,,,,,,
,192,,,,227,,,,,,,,
,191,,,,229,,,,,,,,
,200,,,,228,,,,,,,,
,190,,,,251,,,,,,,,
,198,,,,252,,,,,,,,
,198,,,,259,,,,,,,,
,185,,,,255,,,,,,,,
,207,,,,254,,,,,,,,
,204,,,,232,,,,,,,,
,190,,,,240,,,,,,,,
,211,,,,237,,,,,,,,
,188,,,,,,,,,,,,
,200,,,,,,,,,,,,
,178,,,,,,,,,,,,
,205,,,,,,,,,,,,
,196,,,,,,,,,,,,
,198,,,,,,,,,,,,
,175,,,,,,,,,,,,
,176,,,,,,,,,,,,
,200,,,,,,,,,,,,
,188,,,,,,,,,,,,
,189,,,,,,,,,,,,
,200,,,,,,,,,,,,
,183,,,,,,,,,,,,
,202,,,,,,,,,,,,
,196,,,,,,,,,,,,
,197,,,,,,,,,,,,
,213,,,,,,,,,,,,
,208,,,,,,,,,,,,
,200,,,,,,,,,,,,
,198,,,,,,,,,,,,
,197,,,,,,,,,,,,
,210,,,,,,,,,,,,
,203,,,,,,,,,,,,
,200,,,,,,,,,,,,
,180,,,,,,,,,,,,
,213,,,,,,,,,,,,
,215,,,,,,,,,,,,
,190,,,,,,,,,,,,
,176,,,,,,,,,,,,
,200,,,,,,,,,,,,
,192,,,,,,,,,,,,
,200,,,,,,,,,,,,
,196,,,,,,,,,,,,
,197,,,,,,,,,,,,
,182,,,,,,,,,,,,
,195,,,,,,,,,,,,
,201,,,,,,,,,,,,
,202,,,,,,,,,,,,
,206,,,,,,,,,,,,
,209,,,,,,,,,,,,
,184,,,,,,,,,,,,
,190,,,,,,,,,,,,
,199,,,,,,,,,,,,
,182,,,,,,,,,,,,
,199,,,,,,,,,,,,
,192,,,,,,,,,,,,
,193,,,,,,,,,,,,
,185,,,,,,,,,,,,
,187,,,,,,,,,,,,
,205,,,,,,,,,,,,
,191,,,,,,,,,,,,
,192,,,,,,,,,,,,
,206,,,,,,,,,,,,
,205,,,,,,,,,,,,
,185,,,,,,,,,,,,
,190,,,,,,,,,,,,
,182,,,,,,,,,,,,
,200,,,,,,,,,,,,
,199,,,,,,,,,,,,
