title,genre,language,imdb_score,premiere,runtime,year
I Don't Feel at Home in This World Anymore,Drama,English,6.9,2017-02-24,96,2017
Earth and Blood,Action,French,4.9,2020-04-17,80,2020
Nobody Speak: Trials of the Free Press,Documentary,English,6.5,2017-06-23,95,2017
Òlòt?ré,Crime drama,English,5.5,2020-10-02,106,2020
The Prom,Musical,English,5.9,2020-12-11,132,2020
Fractured,Thriller,English,6.4,2019-10-11,100,2019
The Irishman: In Conversation,Aftershow / Interview,English,7.4,2019-11-27,23,2019
7 años,Drama,Spanish,6.8,2016-10-28,76,2016
Antoine Griezmann: The Making of a Legend,Documentary,French,6.5,2019-03-21,60,2019
Fatal Affair,Thriller,English,4.5,2020-07-16,89,2020
Music Teacher,Drama,Hindi,6.3,2019-04-19,101,2019
Enter the Anime,Documentary,English/Japanese,2.5,2019-08-05,58,2019
Ben Platt: Live from Radio City Music Hall,Concert Film,English,8.4,2020-05-20,85,2020
First Match,Sports-drama,English,6.4,2018-03-30,102,2018
Coffee & Kareem,Action comedy,English,5.1,2020-04-03,88,2020
You've Got This,Romantic comedy,Spanish,5.8,2020-10-02,111,2020
A Week Away,Christian musical,English,5.7,2021-03-26,97,2021
The 40-Year-Old Version,Comedy,English,7.2,2020-10-09,124,2020
What Happened to Mr. Cha?,Comedy,Korean,4.3,2021-01-01,102,2021
Finding Agnes,Drama,Filipino,4.7,2020-11-30,105,2020
A Whisker Away,Anime/Fantasy,Japanese,6.7,2020-06-18,104,2020
Ghost Lab,Horror,Thai,5.2,2021-05-26,117,2021
ReMastered: Devil at the Crossroads,Documentary,English,7.0,2019-04-26,48,2019
ReMastered: Tricky Dick & the Man in Black,Documentary,English,7.1,2018-11-02,58,2018
Handsome: A Netflix Mystery Movie,Comedy,English,5.2,2017-05-05,81,2017
Rim of the World,Science fiction adventure,English,5.2,2019-05-24,98,2019
Notes from Dunblane: Lesson from a School Shooting,Documentary,English,5.9,2018-09-28,23,2018
Homecoming: A Film by Beyonce ,Documentary,English,7.5,2019-04-17,137,2019
Miss Americana,Documentary,English,7.4,2020-01-31,85,2020
Always Be My Maybe,Romantic comedy,English,6.8,2019-05-31,102,2019
Holiday in the Wild,Adventure-romance,English,6.1,2019-11-01,85,2019
Dude,Teen comedy-drama,English,5.1,2018-04-20,97,2018
Zion ,Documentary,English,7.2,2018-08-10,11,2018
ReMastered: The Lion's Share,Documentary,English,7.0,2019-05-17,84,2019
The Social Dilemma,Documentary,English,7.6,2020-09-09,94,2020
Paris Is Us,Romance drama,French,4.6,2019-02-22,83,2019
Candy Jar,Comedy,English,5.8,2018-04-27,92,2018
Blame!,Anime/Science fiction,Japanese,6.7,2017-05-20,106,2017
American Factory: A Conversation with the Obamas ,Aftershow / Interview,English,5.2,2019-08-21,10,2019
The Life Ahead,Drama,Italian,6.8,2020-11-13,95,2020
A Christmas Prince: The Royal Wedding,Romantic comedy,English,5.3,2018-11-30,92,2018
Maska,Romantic comedy,Hindi,5.9,2020-03-27,111,2020
AK vs AK,Thriller,Hindi,6.9,2020-12-24,108,2020
Eli,Horror,English,5.7,2019-10-18,98,2019
A Christmas Prince,Romantic comedy,English,5.8,2017-11-17,92,2017
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,English,5.9,2019-07-16,32,2019
The Babysitter,Teen comedy horror,English,6.3,2017-10-13,85,2017
I'm Thinking of Ending Things,Psychological thriller,English,6.6,2020-09-04,134,2020
Death Note,Horror thriller,English,4.4,2017-08-25,100,2017
El Camino: A Breaking Bad Movie,Crime drama,English,7.3,2019-10-11,121,2019
Los Tigres del Norte at Folsom Prison,Documentary,Spanish,7.0,2019-09-15,64,2019
They'll Love Me When I'm Dead,Documentary,English,7.4,2018-11-02,98,2018
The Christmas Chronicles: Part Two,Christmas comedy,English,6.0,2020-11-25,115,2020
Pele,Documentary,English,7.0,2021-02-23,108,2021
Mowgli: Legend of the Jungle,Adventure,English,6.5,2018-12-07,104,2018
Have You Ever Seen Fireflies?,Comedy,Turkish,6.2,2021-04-09,114,2021
Extinction,Science fiction/Thriller,English,5.8,2018-07-27,95,2018
High Flying Bird,Sports-drama,English,6.2,2019-02-08,90,2019
Malcolm & Marie,Romantic drama,English,6.7,2021-02-05,106,2021
Chasing Coral ,Documentary,English,8.1,2017-07-14,89,2017
The Ridiculous 6,Western,English,4.8,2015-12-11,119,2015
Stuck Apart,Drama,Turkish,6.1,2021-01-08,96,2021
John Was Trying to Contact Aliens,Documentary,English,6.4,2020-08-20,16,2020
Barry,Biopic,English,5.8,2016-12-16,104,2016
Rising Phoenix,Documentary,English,8.1,2020-08-26,106,2020
Joan Didion: The Center Will Not Hold,Documentary,English,7.5,2017-10-27,98,2017
Feminists: What Were They Thinking?,Documentary,English,7.0,2018-10-12,86,2018
Okja,Action-adventure,English/Korean,7.3,2017-06-28,121,2017
Extremis,Documentary,English,7.3,2016-09-13,24,2016
Been So Long,Musical,English,5.5,2018-10-26,100,2018
To All the Boys: Always and Forever,Romantic comedy,English,6.3,2021-02-12,109,2021
The Black Godfather,Documentary,English,7.4,2019-06-07,118,2019
The Minimalists: Less Is Now,Documentary,English,5.9,2021-01-01,53,2021
Ajeeb Daastaans,Drama,Hindi,6.7,2021-04-16,142,2021
Da 5 Bloods,War drama,English,6.5,2020-06-12,155,2020
The Week Of,Comedy,English,5.2,2018-04-27,116,2018
The Last Paradiso,Romantic drama,Italian,5.6,2021-02-05,107,2021
I'll Sleep When I'm Dead,Documentary,English,6.6,2016-08-19,79,2016
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,English,7.0,2020-12-18,31,2020
Amateur,Sports-drama,English,5.9,2018-04-06,96,2018
Take the 10,Comedy,English,4.8,2017-01-20,80,2017
First They Killed My Father,Drama,Khmer/English/French,7.2,2017-09-15,136,2017
Have a Good Trip: Adventures in Psychedelics,Documentary,English,6.8,2020-05-11,85,2020
Rebecca,Romantic thriller,English,6.0,2020-10-21,123,2020
6 Underground,Action,English,6.1,2019-12-13,128,2019
Tell Me Who I Am,Documentary,English,7.6,2019-10-18,85,2019
Project Power,Superhero,English,6.0,2020-08-14,113,2020
The Dig,Drama,English,7.1,2021-01-29,112,2021
A Very Murray Christmas,Comedy / Musical,English,5.5,2015-12-04,56,2015
My Beautiful Broken Brain,Documentary,English,7.1,2016-03-18,91,2016
The Kissing Booth 2,Romantic comedy,English,5.8,2020-07-24,131,2020
Bright,Urban fantasy,English,6.3,2017-12-22,117,2017
Come Sunday,Biopic,English,6.0,2018-04-13,106,2018
Beasts of No Nation,War drama,English/Akan,7.7,2015-10-16,136,2015
All Day and a Night,Drama,English,5.8,2020-05-01,121,2020
Altered Carbon: Resleeved,Anime/Science fiction,Japanese,6.5,2020-03-19,74,2020
War Machine,War-Comedy,English,6.0,2017-05-26,122,2017
Point Blank,Action,English,5.7,2019-07-12,86,2019
Rodney King,One-man show,English,5.8,2017-04-28,52,2017
Evelyn,Documentary,English,7.1,2019-09-10,96,2019
A 3 Minute Hug,Documentary,English/Spanish,6.5,2019-10-28,28,2019
Prime Time,Thriller,Polish,5.7,2021-04-14,91,2021
Citation,Drama,English,6.2,2020-11-06,151,2020
"Strip Down, Rise Up",Documentary,English,5.2,2021-02-05,112,2021
The Sleepover,Comedy,English,5.6,2020-08-21,103,2020
Knock Down the House,Documentary,English,7.1,2019-05-01,87,2019
Mercury 13,Documentary,English,6.8,2018-04-20,79,2018
Travis Scott: Look Mom I Can Fly,Documentary,English,6.3,2019-08-28,85,2019
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,English,6.4,2019-09-27,41,2019
A Christmas Prince: The Royal Baby,Romantic comedy,English,5.4,2019-12-05,85,2019
Bomb Scared,Black comedy,Spanish/Basque,5.6,2017-10-12,89,2017
The Edge of Democracy,Documentary,Portuguese,7.2,2019-06-19,121,2019
Father of the Year,Comedy,English,5.2,2018-07-20,94,2018
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,English,7.7,2017-11-17,94,2017
Voyuer ,Documentary,English,6.2,2017-12-01,95,2017
A Futile and Stupid Gesture,Biographical/Comedy,English,6.8,2018-01-26,101,2018
What We Wanted,Drama,German,5.8,2020-11-11,93,2020
Taylor Swift: Reputation Stadium Tour,Concert Film,English,8.4,2018-12-31,125,2018
Time to Hunt,Thriller,Korean,6.3,2020-04-23,134,2020
The Outsider,Crime drama,English/Japanese,6.3,2018-03-09,120,2018
Quincy,Documentary,English,7.6,2018-09-21,124,2018
The Three Deaths of Marisela Escobedo,Documentary,Spanish,8.2,2020-10-14,109,2020
TAU,Science fiction/Thriller,English,5.8,2018-06-29,97,2018
Giving Voice,Documentary,English,6.7,2020-12-11,90,2020
One Take,Documentary,Thai,5.7,2020-06-18,85,2020
Army of the Dead,Zombie/Heist,English,5.9,2021-05-21,148,2021
"What Happened, Miss Simone?",Documentary,English,7.6,2015-06-26,84,2015
The Last Laugh,Comedy-drama,English,5.6,2019-01-11,98,2019
The Decline,Thriller,French,5.9,2020-03-27,83,2020
Horse Girl,Drama,English,5.9,2020-02-07,104,2020
Invader Zim: Enter the Florpus,Animation / Science Fiction,English,7.5,2019-08-16,71,2019
Mercy,Thriller,English,4.2,2016-11-22,90,2016
Cargo,Drama/Horror,English,6.3,2018-05-18,104,2018
Airplane Mode,Comedy,Portuguese,5.0,2020-01-23,96,2020
Period. End of Sentence.,Documentary,English/Hindi,7.4,2019-02-12,26,2019
The Wrong Missy,Comedy,English,5.7,2020-05-13,90,2020
The Disciple,Drama,Marathi,7.2,2021-04-30,129,2021
The Girl on the Train,Thriller,Hindi,4.4,2021-02-26,120,2021
Mute,Science fiction/Mystery,English,5.5,2018-02-23,126,2018
The Rachel Divide,Documentary,English,6.2,2018-04-27,104,2018
Tramps,Romance,English,6.5,2017-04-21,83,2017
The Larva Island Movie,Animation,English,5.1,2020-07-23,90,2020
Sol Levante,Anime / Short,English,4.7,2020-04-02,4,2020
Vampires vs. the Bronx,Horror comedy,English,5.6,2020-10-02,86,2020
Someone Great,Romantic comedy,English,6.2,2019-04-19,92,2019
Joshua: Teenager vs. Superpower,Documentary,English,7.1,2017-05-26,78,2017
Dark Forces,Thriller,Spanish,2.6,2020-08-21,81,2020
Baggio: The Divine Ponytail,Biopic,Italian,6.2,2021-05-26,92,2021
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,English,5.4,2020-10-15,98,2020
The Red Sea Diving Resort,Spy thriller,English,6.6,2019-07-31,130,2019
Between Two Ferns: The Movie,Comedy,English,6.1,2019-09-20,82,2019
Deidra & Laney Rob a Train,Drama,English,6.1,2017-03-17,94,2017
Tersanjung the Movie,Drama,Indonesian,6.1,2021-04-01,114,2021
Sergio,Biopic,English,6.1,2020-04-17,118,2020
American Son,Drama,English,5.8,2019-11-01,90,2019
6 Balloons,Drama,English,5.9,2018-04-06,75,2018
Justin Timberlake + The Tennessee Kids,Concert Film,English,7.7,2016-10-12,90,2016
Finding 'Ohana,Family,English,6.1,2021-01-29,123,2021
Street Flow,Drama,French,6.4,2019-10-12,96,2019
Lovefucked,Drama,Hindi,6.0,2019-08-09,106,2019
Jingle Jangle: A Christmas Journey,Family/Christmas musical,English,6.5,2020-11-13,119,2020
Love Like the Falling Rain,Drama,Indonesian,5.0,2020-10-15,86,2020
Ibiza,Comedy,English,5.2,2018-05-25,94,2018
The Binding,Drama,Italian,4.7,2020-10-02,93,2020
Sarah Cooper: Everything's Fine,Variety show,English,5.6,2020-10-27,49,2020
Rose Island,Comedy,Italian,7.0,2020-12-09,117,2020
Earthquake Bird,Mystery,English,5.9,2019-11-15,107,2019
GIMS: On the Record,Documentary,French,6.8,2020-09-17,96,2020
Falling Inn Love,Romantic comedy,English,5.6,2019-08-29,97,2019
Cam,Psychological horror,English,5.9,2018-11-16,94,2018
Yes Day,Comedy,English,5.7,2021-03-12,86,2021
American Murder: The Family Next Door,Documentary,English,7.2,2020-09-30,82,2020
Good Sam,Drama,English,5.7,2019-05-16,89,2019
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,English,7.0,2020-11-03,14,2020
Thunder Force,Superhero-Comedy,English,4.4,2021-04-09,105,2021
The King,Historical drama,English,7.2,2019-11-01,140,2019
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,English,7.0,2018-11-22,104,2018
Long Shot,Documentary,English,7.4,2017-09-29,40,2017
The Road to El Camino: A Breaking Bad Movie,Making-of,English,7.2,2019-10-29,13,2019
Paddleton,Drama-Comedy,English,7.2,2019-02-22,89,2019
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,English,7.6,2019-06-12,144,2019
Freaks: You're One of Us,Supernatural drama,German,5.4,2020-09-02,92,2020
Squared Love,Romantic comedy,Polish,5.0,2021-02-11,102,2021
My Own Man,Documentary,English,6.4,2014-12-13,81,2014
Biggie: I Got a Story to Tell,Documentary,English,6.9,2021-03-01,97,2021
