title,genre,language,imdb_score,premiere,runtime,year
The Incredible Jessica James,Comedy,English,6.5,2017-07-28,83,2017
The Forest of Love,Drama,Japanese,6.3,2019-10-11,151,2019
Still Laugh-In: The Stars Celebrate,Variety show,English,5.2,2019-05-14,60,2019
Canvas ,Animation / Short,English,6.5,2020-12-11,9,2020
Firebrand,Drama,Marathi,5.2,2019-02-22,112,2019
#REALITYHIGH,Comedy,English,5.2,2017-09-08,99,2017
Rattlesnake,Horror,English,4.6,2019-10-25,85,2019
Murder to Mercy: The Cyntoia Brown Story,Documentary,English,6.4,2020-04-29,97,2020
Sextuplets,Comedy,English,4.4,2019-08-16,99,2019
Cuba and the Cameraman ,Documentary,English,8.3,2017-11-24,114,2017
Christmas Inheritance,Romantic drama,English,5.7,2017-12-15,104,2017
Mank,Biopic,English,6.9,2020-12-04,132,2020
The Crimes That Bind,Crime drama,Spanish,6.6,2020-08-20,99,2020
Red Dot,Thriller,Swedish,5.5,2021-02-11,86,2021
Ghosts of Sugar Land,Documentary,English,5.5,2019-10-16,21,2019
The Last Days of American Crime,Heist film/Thriller,English,3.7,2020-06-05,149,2020
Lionheart,Comedy,English,5.7,2019-01-04,94,2019
Dolly Kitty and Those Twinkling Stars,Drama,Hindi,5.4,2020-09-18,120,2020
"Bikram: Yogi, Guru, Predator",Documentary,English,6.7,2019-11-20,86,2019
Strong Island,Documentary,English,6.4,2017-09-15,107,2017
A Secret Love,Documentary,English,7.9,2020-04-29,82,2020
Space Sweepers,Science fiction,Korean,6.6,2021-02-05,136,2021
Seventeen,Coming-of-age comedy-drama,Spanish,7.2,2019-10-18,99,2019
Nobody Knows I'm Here,Drama,Spanish,6.5,2020-06-24,91,2020
The Laundromat,Comedy-drama,English,6.3,2019-10-18,98,2019
The Meyerowitz Stories (New and Selected),Comedy-drama,English,6.9,2017-10-13,112,2017
"Lorena, Light-Footed Woman",Documentary,Spanish,7.0,2019-11-20,28,2019
End Game,Documentary,English,7.1,2018-05-04,40,2018
