
Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
116,Ederson,br BRA,GK,Manchester City,29,"£ 100,000 (€ 118,369, $127,204)",6614600,
115,Raúl Jiménez,mx MEX,FW,Fulham,32,"£ 100,000 (€ 118,369, $127,204)",6614600,Unverified estimation
114,James Tarkowski,eng ENG,DF,Everton,30,"£ 100,000 (€ 118,369, $127,204)",6614600,
113,Dominic Calvert-Lewin,eng ENG,FW,Everton,26,"£ 100,000 (€ 118,369, $127,204)",6614600,
112,Dele Alli,eng ENG,AM,Everton,27,"£ 100,000 (€ 118,369, $127,204)",6614600,
111,Amadou Onana,be BEL,MF,Everton,21,"£ 100,000 (€ 118,369, $127,204)",6614600,
110,Mykhailo Mudryk,ua UKR,FW,Chelsea,22,"£ 100,000 (€ 118,369, $127,204)",6614600,
109,Levi Colwill,eng ENG,DF,Chelsea,20,"£ 100,000 (€ 118,369, $127,204)",6614600,
108,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,19,"£ 100,000 (€ 118,369, $127,204)",6614600,
107,Matt Targett,eng ENG,DF,Newcastle Utd,27,"£ 100,000 (€ 118,369, $127,204)",6614600,
106,Tyrone Mings,eng ENG,DF,Aston Villa,30,"£ 100,000 (€ 118,369, $127,204)",6614600,Unverified estimation
105,Pau Torres,es ESP,DF,Aston Villa,26,"£ 100,000 (€ 118,369, $127,204)",6614600,Unverified estimation
104,Leon Bailey,jm JAM,"MF,FW",Aston Villa,25,"£ 100,000 (€ 118,369, $127,204)",6614600,
103,Diego Carlos,br BRA,DF,Aston Villa,30,"£ 100,000 (€ 118,369, $127,204)",6614600,
102,Joël Matip,cm CMR,DF,Liverpool,31,"£ 100,000 (€ 118,369, $127,204)",6614600,
101,Andrew Robertson,sct SCO,DF,Liverpool,29,"£ 100,000 (€ 118,369, $127,204)",6614600,
100,Edson Álvarez,mx MEX,MF,West Ham,25,"£ 100,000 (€ 118,369, $127,204)",6614600,
99,Michael Olise,fr FRA,"FW,MF",Crystal Palace,21,"£ 100,000 (€ 118,369, $127,204)",6614600,
98,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,25,"£ 100,000 (€ 118,369, $127,204)",6614600,
97,Dean Henderson,eng ENG,GK,Crystal Palace,26,"£ 100,000 (€ 118,369, $127,204)",6614600,Unverified estimation
96,Pierre Højbjerg,dk DEN,MF,Tottenham,27,"£ 100,000 (€ 118,369, $127,204)",6614600,
95,Hugo Lloris,fr FRA,GK,Tottenham,36,"£ 100,000 (€ 118,369, $127,204)",6614600,
94,Reiss Nelson,eng ENG,FW,Arsenal,23,"£ 100,000 (€ 118,369, $127,204)",6614600,
93,Gabriel Magalhães,br BRA,DF,Arsenal,25,"£ 100,000 (€ 118,369, $127,204)",6614600,
92,Eddie Nketiah,eng ENG,FW,Arsenal,24,"£ 100,000 (€ 118,369, $127,204)",6614600,
91,Thiago Silva,br BRA,DF,Chelsea,38,"£ 110,000 (€ 130,206, $139,924)",7276060,
90,Dejan Kulusevski,se SWE,"FW,MF",Tottenham,23,"£ 110,000 (€ 130,206, $139,924)",7276060,
89,Jorginho,it ITA,MF,Arsenal,31,"£ 110,000 (€ 130,206, $139,924)",7276060,
88,André Gomes,pt POR,"MF,FW",Everton,30,"£ 112,308 (€ 132,937, $142,860)",7428705,
87,James Ward-Prowse,eng ENG,MF,West Ham,28,"£ 115,000 (€ 136,124, $146,284)",7606790,Unverified estimation
86,Divock Origi,be BEL,FW,Nott'ham Forest,28,"£ 120,000 (€ 142,042, $152,645)",7937520,
85,Malang Sarr,fr FRA,CB,Chelsea,24,"£ 120,000 (€ 142,042, $152,645)",7937520,
84,Kieran Trippier,eng ENG,DF,Newcastle Utd,32,"£ 120,000 (€ 142,042, $152,645)",7937520,Unverified estimation
83,Alexander Isak,se SWE,FW,Newcastle Utd,23,"£ 120,000 (€ 142,042, $152,645)",7937520,
82,Lucas Digne,fr FRA,DF,Aston Villa,30,"£ 120,000 (€ 142,042, $152,645)",7937520,
81,John McGinn,sct SCO,"MF,FW",Aston Villa,28,"£ 120,000 (€ 142,042, $152,645)",7937520,Unverified estimation
80,Emiliano Martínez,ar ARG,GK,Aston Villa,30,"£ 120,000 (€ 142,042, $152,645)",7937520,
79,Dominik Szoboszlai,hu HUN,MF,Liverpool,22,"£ 120,000 (€ 142,042, $152,645)",7937520,
78,Cody Gakpo,nl NED,"FW,MF",Liverpool,24,"£ 120,000 (€ 142,042, $152,645)",7937520,
77,Jarrod Bowen,eng ENG,FW,West Ham,26,"£ 120,000 (€ 142,042, $152,645)",7937520,
76,Alphonse Areola,fr FRA,GK,West Ham,30,"£ 120,000 (€ 142,042, $152,645)",7937520,
75,Victor Lindelöf,se SWE,DF,Manchester Utd,29,"£ 120,000 (€ 142,042, $152,645)",7937520,
74,Lisandro Martínez,ar ARG,DF,Manchester Utd,25,"£ 120,000 (€ 142,042, $152,645)",7937520,
73,André Onana,cm CMR,GK,Manchester Utd,27,"£ 120,000 (€ 142,042, $152,645)",7937520,
72,Ben White,eng ENG,DF,Arsenal,25,"£ 120,000 (€ 142,042, $152,645)",7937520,
71,Aaron Ramsdale,eng ENG,GK,Arsenal,25,"£ 120,000 (€ 142,042, $152,645)",7937520,
70,Jordan Pickford,eng ENG,GK,Everton,29,"£ 125,000 (€ 147,961, $159,005)",8268250,
69,Kurt Zouma,fr FRA,DF,West Ham,28,"£ 125,000 (€ 147,961, $159,005)",8268250,
68,Danny Ings,eng ENG,FW,West Ham,31,"£ 125,000 (€ 147,961, $159,005)",8268250,
67,Matheus Nunes,pt POR,MF,Manchester City,24,"£ 130,000 (€ 153,879, $165,365)",8598980,Unverified estimation
66,Bernd Leno,de GER,GK,Fulham,31,"£ 130,000 (€ 153,879, $165,365)",8598980,
65,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,30,"£ 130,000 (€ 153,879, $165,365)",8598980,
64,Ollie Watkins,eng ENG,FW,Aston Villa,27,"£ 130,000 (€ 153,879, $165,365)",8598980,Unverified estimation
63,Moussa Diaby,fr FRA,"FW,MF",Aston Villa,24,"£ 130,000 (€ 153,879, $165,365)",8598980,Unverified estimation
62,Diogo Jota,pt POR,FW,Liverpool,26,"£ 140,000 (€ 165,716, $178,085)",9260440,
61,Darwin Núñez,uy URU,FW,Liverpool,24,"£ 140,000 (€ 165,716, $178,085)",9260440,
60,Mateo Kovačić,hr CRO,MF,Manchester City,29,"£ 150,000 (€ 177,553, $190,806)",9921900,Unverified estimation
59,Moisés Caicedo,ec ECU,MF,Chelsea,21,"£ 150,000 (€ 177,553, $190,806)",9921900,
58,Youri Tielemans,be BEL,"MF,FW",Aston Villa,26,"£ 150,000 (€ 177,553, $190,806)",9921900,
57,Clément Lenglet,fr FRA,DF,Aston Villa,28,"£ 150,000 (€ 177,553, $190,806)",9921900,Unverified estimation
56,Boubacar Kamara,fr FRA,MF,Aston Villa,23,"£ 150,000 (€ 177,553, $190,806)",9921900,
55,Ryan Gravenberch,nl NED,MF,Liverpool,21,"£ 150,000 (€ 177,553, $190,806)",9921900,Unverified estimation
54,Alisson,br BRA,GK,Liverpool,30,"£ 150,000 (€ 177,553, $190,806)",9921900,
53,Alexis Mac Allister,ar ARG,MF,Liverpool,24,"£ 150,000 (€ 177,553, $190,806)",9921900,Unverified estimation
52,Lucas Paquetá,br BRA,"FW,MF",West Ham,25,"£ 150,000 (€ 177,553, $190,806)",9921900,
51,Kalvin Phillips,eng ENG,MF,West Ham,27,"£ 150,000 (€ 177,553, $190,806)",9921900,Unverified estimation
50,Luke Shaw,eng ENG,DF,Manchester Utd,28,"£ 150,000 (€ 177,553, $190,806)",9921900,
49,Christian Eriksen,dk DEN,MF,Manchester Utd,31,"£ 150,000 (€ 177,553, $190,806)",9921900,
48,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26,"£ 150,000 (€ 177,553, $190,806)",9921900,
47,Nathan Aké,nl NED,DF,Manchester City,28,"£ 160,000 (€ 189,390, $203,526)",10583360,
46,Ansu Fati,es ESP,"MF,FW",Brighton,20,"£ 160,000 (€ 189,390, $203,526)",10583360,Unverified estimation
45,Bruno Guimarães,br BRA,MF,Newcastle Utd,25,"£ 160,000 (€ 189,390, $203,526)",10583360,
44,Timo Werner,de GER,FW,Tottenham,27,"£ 165,000 (€ 195,308, $209,886)",10914090,Unverified estimation
43,Cristian Romero,ar ARG,DF,Tottenham,25,"£ 165,000 (€ 195,308, $209,886)",10914090,
42,James Maddison,eng ENG,MF,Tottenham,26,"£ 170,000 (€ 201,227, $216,247)",11244820,
41,Kyle Walker,eng ENG,DF,Manchester City,33,"£ 175,000 (€ 207,145, $222,607)",11575550,Unverified estimation
40,Marc Cucurella,es ESP,DF,Chelsea,25,"£ 175,000 (€ 207,145, $222,607)",11575550,
39,Rúben Dias,pt POR,DF,Manchester City,26,"£ 180,000 (€ 213,064, $228,967)",11906280,
38,Manuel Akanji,ch SUI,"DF,MF",Manchester City,28,"£ 180,000 (€ 213,064, $228,967)",11906280,
37,Enzo Fernández,ar ARG,MF,Chelsea,22,"£ 180,000 (€ 213,064, $228,967)",11906280,
36,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24,"£ 180,000 (€ 213,064, $228,967)",11906280,
35,Ivan Perišić,hr CRO,FW,Tottenham,34,"£ 180,000 (€ 213,064, $228,967)",11906280,
34,Gabriel Martinelli,br BRA,FW,Arsenal,22,"£ 180,000 (€ 213,064, $228,967)",11906280,
33,Son Heung-min,kr KOR,FW,Tottenham,31,"£ 190,000 (€ 224,900, $241,687)",12567740,
32,Harry Maguire,eng ENG,DF,Manchester Utd,30,"£ 190,000 (€ 224,900, $241,687)",12567740,
31,William Saliba,fr FRA,DF,Arsenal,22,"£ 190,000 (€ 224,900, $241,687)",12567740,
30,Christopher Nkunku,fr FRA,"FW,MF",Chelsea,25,"£ 195,000 (€ 230,819, $248,048)",12898470,Unverified estimation
29,Bukayo Saka,eng ENG,FW,Arsenal,21,"£ 195,000 (€ 230,819, $248,048)",12898470,
28,Joško Gvardiol,hr CRO,DF,Manchester City,21,"£ 200,000 (€ 236,737, $254,408)",13229200,Unverified estimation
27,Wesley Fofana,fr FRA,CB,Chelsea,23,"£ 200,000 (€ 236,737, $254,408)",13229200,
26,Ben Chilwell,eng ENG,DF,Chelsea,26,"£ 200,000 (€ 236,737, $254,408)",13229200,
25,Thiago Alcántara,es ESP,MF,Liverpool,32,"£ 200,000 (€ 236,737, $254,408)",13229200,
24,Antony,br BRA,FW,Manchester Utd,23,"£ 200,000 (€ 236,737, $254,408)",13229200,
23,Thomas Partey,gh GHA,"MF,DF",Arsenal,30,"£ 200,000 (€ 236,737, $254,408)",13229200,
22,Rodri,es ESP,MF,Manchester City,27,"£ 220,000 (€ 260,411, $279,848)",14552120,
21,Virgil van Dijk,nl NED,DF,Liverpool,32,"£ 220,000 (€ 260,411, $279,848)",14552120,
20,Phil Foden,eng ENG,"FW,MF",Manchester City,23,"£ 225,000 (€ 266,329, $286,209)",14882850,
19,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,28,"£ 240,000 (€ 284,085, $305,289)",15875040,
18,Martin Ødegaard,no NOR,MF,Arsenal,24,"£ 240,000 (€ 284,085, $305,289)",15875040,
17,Declan Rice,eng ENG,MF,Arsenal,24,"£ 240,000 (€ 284,085, $305,289)",15875040,
16,John Stones,eng ENG,"DF,MF",Manchester City,29,"£ 250,000 (€ 295,922, $318,010)",16536501,
15,Reece James,eng ENG,DF,Chelsea,23,"£ 250,000 (€ 295,922, $318,010)",16536501,
14,Mason Mount,eng ENG,"MF,FW",Manchester Utd,24,"£ 250,000 (€ 295,922, $318,010)",16536501,
13,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,23,"£ 250,000 (€ 295,922, $318,010)",16536501,
12,Anthony Martial,fr FRA,FW,Manchester Utd,27,"£ 250,000 (€ 295,922, $318,010)",16536501,
11,Gabriel Jesus,br BRA,FW,Arsenal,26,"£ 265,000 (€ 313,677, $337,090)",17528691,
10,Kai Havertz,de GER,"MF,FW",Arsenal,24,"£ 280,000 (€ 331,432, $356,171)",18520881,
9,Jack Grealish,eng ENG,"FW,MF",Manchester City,27,"£ 300,000 (€ 355,106, $381,612)",19843801,
8,Bernardo Silva,pt POR,"MF,FW",Manchester City,28,"£ 300,000 (€ 355,106, $381,612)",19843801,
7,Marcus Rashford,eng ENG,FW,Manchester Utd,25,"£ 300,000 (€ 355,106, $381,612)",19843801,
6,Raheem Sterling,eng ENG,"FW,MF",Chelsea,28,"£ 325,000 (€ 384,698, $413,413)",21497451,
5,Raphaël Varane,fr FRA,DF,Manchester Utd,30,"£ 340,000 (€ 402,453, $432,493)",22489641,
4,Mohamed Salah,eg EGY,FW,Liverpool,31,"£ 350,000 (€ 414,290, $445,213)",23151101,
3,Casemiro,br BRA,"MF,DF",Manchester Utd,31,"£ 350,000 (€ 414,290, $445,213)",23151101,
2,Erling Haaland,no NOR,FW,Manchester City,23,"£ 375,000 (€ 443,882, $477,014)",24804751,
1,Kevin De Bruyne,be BEL,MF,Manchester City,32,"£ 400,000 (€ 473,475, $508,815)",26458401,
