ID,Name,Sex,Age,Height,Weight,Team,NOC,Year,City,Sport,Event
1149,Neha Aggarwal,F,18.0,170.0,67.0,India,IND,2008,Beijing,Table Tennis,Table Tennis Women's Singles
1213,Norisbeth Isais Agudo Gonzlez,F,24.0,163.0,55.0,Venezuela,VEN,2016,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball
1221,"Taismary ""Tai"" Agero Leiva (-Botteghi)",F,23.0,175.0,70.0,Cuba,CUB,2000,Sydney,Volleyball,Volleyball Women's Volleyball
1221,"Taismary ""Tai"" Agero Leiva (-Botteghi)",F,31.0,175.0,70.0,Italy,ITA,2008,Beijing,Volleyball,Volleyball Women's Volleyball
1244,Felipe Aguilar Schler,M,41.0,170.0,72.0,Chile,CHI,2016,Rio de Janeiro,Golf,Golf Men's Individual
1271,Tomas Alonso Aguilera Armendariz,M,27.0,202.0,95.0,Mexico,MEX,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball
1290,Marcelo Vctor Aguirre,M,15.0,174.0,66.0,Paraguay,PAR,2008,Beijing,Table Tennis,Table Tennis Men's Singles
1290,Marcelo Vctor Aguirre,M,19.0,174.0,66.0,Paraguay,PAR,2012,London,Table Tennis,Table Tennis Men's Singles
1290,Marcelo Vctor Aguirre,M,23.0,174.0,66.0,Paraguay,PAR,2016,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles
1313,Robyn Mokihana Ah Mow-Santos,F,24.0,172.0,67.0,United States,USA,2000,Sydney,Volleyball,Volleyball Women's Volleyball
1313,Robyn Mokihana Ah Mow-Santos,F,28.0,172.0,67.0,United States,USA,2004,Athina,Volleyball,Volleyball Women's Volleyball
1313,Robyn Mokihana Ah Mow-Santos,F,32.0,172.0,67.0,United States,USA,2008,Beijing,Volleyball,Volleyball Women's Volleyball
1379,Jrg Ahmann,M,30.0,190.0,88.0,Germany,GER,1996,Atlanta,Beach Volleyball,Beach Volleyball Men's Beach Volleyball
