Name,Position,Weigth,Height,Age,Team
Zach Sieler,DT,300, 6-6,29,miami-dolphins
Cam Smith,DB,180, 6-1,23,miami-dolphins
Jonnu Smith,TE,248, 6-3,29,miami-dolphins
Durham Smythe,TE,246, 6-6,29,miami-dolphins
Jack Stoll,TE,247, 6-4,26,miami-dolphins
Tua Tagovailoa,QB,227, 6-1,26,miami-dolphins
Skylar Thompson,QB,219, 6-2,27,miami-dolphins
Channing Tindall,LB,236, 6-2,24,miami-dolphins
Jaylen Waddle,WR,185, 5-10,26,miami-dolphins
Anthony Walker,LB,235, 6-1,29,miami-dolphins
Malik Washington,WR,191, 5-8,23,miami-dolphins
Jeffery Wilson,RB,210, 6-0,29,miami-dolphins
Jaylen Wright,RB,210, 5-10,21,miami-dolphins
Braxton Berrios,WR,185, 5-9,29,miami-dolphins
Tyus Bowser,LB,240, 6-2,29,miami-dolphins
Cam Brown,LB,235, 6-5,26,miami-dolphins
Tanner Conner,TE,232, 6-3,26,miami-dolphins
Grant DuBose,WR,201, 6-2,23,miami-dolphins
Austin Jackson,OT,320, 6-5,25,miami-dolphins
Grayson Murphy,DE,249, 6-2,24,miami-dolphins
Jaelan Phillips,LB,263, 6-5,25,miami-dolphins
Anthony Schwartz,WR,186, 6-0,24,miami-dolphins
Kion Smith,OT,306, 6-5,26,miami-dolphins
Tahj Washington,WR,174, 5-10,23,miami-dolphins
Bradley Chubb,LB,268, 6-4,28,miami-dolphins
Blake Ferguson,LS,240, 6-3,27,miami-dolphins
Tarik Black,WR,213, 6-3,26,miami-dolphins
William Bradley-King,DE,265, 6-4,26,miami-dolphins
Shakel Brown,DT,295, 6-3,25,miami-dolphins
Jackson Carman,OT,322, 6-5,24,miami-dolphins
Jordan Colbert,DB,214, 6-2,24,miami-dolphins
Matt Dickerson,DT,292, 6-5,29,miami-dolphins
Erik Ezukanma,WR,206, 6-2,24,miami-dolphins
Ryan Hayes,OT,305, 6-7,24,miami-dolphins
Chasen Hines,C,320, 6-3,24,miami-dolphins
Dequan Jackson,LB,225, 6-1,25,miami-dolphins
Isaiah Johnson,DB,205, 6-3,24,miami-dolphins
Bayron Matos,OT,313, 6-7,23,miami-dolphins
Derrick McLendon,DE,250, 6-4,24,miami-dolphins
Nik Needham,DB,196, 6-1,28,miami-dolphins
Deneric Prince,RB,216, 6-0,24,miami-dolphins
Hayden Rucci,TE,247, 6-5,23,miami-dolphins
Tucker Addington,LS,230, 6-2,27,miami-dolphins
Tim Boyle,QB,232, 6-4,30,miami-dolphins
Robbie Chosen,WR,185, 6-3,31,miami-dolphins
Lester Cotton,OG,325, 6-4,28,miami-dolphins
David Long,LB,227, 5-11,28,miami-dolphins
Matt Overton,LS,254, 6-1,39,miami-dolphins
Brandon Pili,DT,319, 6-3,25,miami-dolphins
Alex Austin,DB,191, 6-1,23,new-england-patriots
Javon Baker,WR,202, 6-1,22,new-england-patriots
Keshawn Banks,LB,255, 6-3,24,new-england-patriots
Bryce Baringer,P,215, 6-2,25,new-england-patriots
Christian Barmore,DT,315, 6-5,25,new-england-patriots
Jaheim Bell,TE,241, 6-2,23,new-england-patriots
Isaiah Bolden,DB,205, 6-2,24,new-england-patriots
Kendrick Bourne,WR,205, 6-1,29,new-england-patriots
Kayshon Boutte,WR,197, 5-11,22,new-england-patriots
Jacoby Brissett,QB,235, 6-4,30,new-england-patriots
Ben Brown,C,313, 6-5,26,new-england-patriots
Joe Cardona,LS,245, 6-2,32,new-england-patriots
Lester Cotton,OG,325, 6-4,28,new-england-patriots
Marcellas Dial,DB,190, 6-0,23,new-england-patriots
Demario Douglas,WR,192, 5-8,23,new-england-patriots
Kyle Dugger,DB,216, 6-1,28,new-england-patriots
Daniel Ekuale,DT,310, 6-3,30,new-england-patriots
Christian Elliss,LB,231, 6-2,25,new-england-patriots
Antonio Gibson,RB,220, 6-2,26,new-england-patriots
Davon Godchaux,DT,330, 6-3,30,new-england-patriots
Christian Gonzalez,DB,205, 6-1,22,new-england-patriots
JaMycal Hasty,RB,205, 5-8,28,new-england-patriots
Jaylinn Hawkins,DB,208, 6-1,27,new-england-patriots
Hunter Henry,TE,249, 6-5,29,new-england-patriots
Austin Hooper,TE,254, 6-3,30,new-england-patriots
Demontrey Jacobs,OT,315, 6-6,26,new-england-patriots
Anfernee Jennings,LB,255, 6-2,27,new-england-patriots
Eric Johnson,DT,299, 6-4,26,new-england-patriots
Jonathan Jones,DB,185, 5-9,31,new-england-patriots
Marcus Jones,DB,188, 5-8,26,new-england-patriots
Michael Jordan,OG,315, 6-6,26,new-england-patriots
Titus Leo,LB,250, 6-3,25,new-england-patriots
Vederian Lowe,OT,315, 6-5,25,new-england-patriots
Marte Mapu,DB,230, 6-3,25,new-england-patriots
Drake Maye,QB,225, 6-4,22,new-england-patriots
Joe Milton,QB,235, 6-5,24,new-england-patriots
Yannick Ngakoue,LB,250, 6-3,29,new-england-patriots
Michael Onwenu,WR,203, 5-11,27,new-england-patriots
Jabrill Peppers,DB,217, 5-11,29,new-england-patriots
Dell Pettus,DB,200, 5-11,23,new-england-patriots
Ja'Lynn Polk,WR,203, 6-1,22,new-england-patriots
Layden Robinson,OG,311, 6-3,23,new-england-patriots
Tyrese Robinson,OG,319, 6-3,25,new-england-patriots
Jaquelin Roy,DT,305, 6-3,24,new-england-patriots
Brenden Schooler,DB,210, 6-2,27,new-england-patriots
Joey Slye,K,213, 5-11,28,new-england-patriots
Lecitus Smith,C,314, 6-3,26,new-england-patriots
Sidy Sow,OG,318, 6-5,26,new-england-patriots
Rhamondre Stevenson,RB,227, 6-0,26,new-england-patriots
Sione Takitaki,LB,238, 6-1,29,new-england-patriots
Jahlani Tavai,LB,255, 6-2,28,new-england-patriots
Keion White,DE,285, 6-5,25,new-england-patriots
David Andrews,C,300, 6-2,32,new-england-patriots
Jake Andrews,C,308, 6-3,25,new-england-patriots
Ja'Whaun Bentley,LB,250, 6-2,28,new-england-patriots
JaQuae Jackson,WR,184, 6-1,24,new-england-patriots
Curtis Jacobs,LB,241, 6-1,22,new-england-patriots
Caedan Wallace,OT,314, 6-5,24,new-england-patriots
Oshane Ximines,LB,254, 6-4,28,new-england-patriots
Chukwuma Okorafor,OT,320, 6-6,27,new-england-patriots
Miles Battle,DB,197, 6-3,24,new-england-patriots
Liam Fornadel,OT,312, 6-4,25,new-england-patriots
Joe Giles-Harris,LB,234, 6-2,27,new-england-patriots
Kevin Harris,RB,225, 5-10,24,new-england-patriots
Marcus Harris,DT,298, 6-2,24,new-england-patriots
Terrell Jennings,WR,205, 6-3,24,new-england-patriots
Caleb Jones,OT,370, 6-9,25,new-england-patriots
Mark Perry,DB,215, 6-0,23,new-england-patriots
Monty Rice,LB,233, 6-0,25,new-england-patriots
Jotham Russell,WR,190, 6-1,25,new-england-patriots
Jack Westover,TE,248, 6-3,25,new-england-patriots
Mitchell Wilcox,TE,247, 6-4,28,new-england-patriots
Tucker Addington,LS,230, 6-2,27,new-england-patriots
Trysten Hill,DT,310, 6-3,26,new-england-patriots
Nick Leverett,OG,310, 6-4,27,new-england-patriots
Ochaun Mathis,LB,260, 6-5,25,new-england-patriots
Raekwon McMillan,LB,250, 6-2,28,new-england-patriots
Zachary Thomas,OT,300, 6-5,26,new-england-patriots
Tyquan Thornton,WR,182, 6-2,24,new-england-patriots
Josh Uche,LB,240, 6-1,26,new-england-patriots
Israel Abanikanda,RB,215, 5-11,22,new-york-jets
Davante Adams,WR,215, 6-1,31,new-york-jets
Tony Adams,DB,205, 6-0,25,new-york-jets
Braelon Allen,RB,235, 6-1,20,new-york-jets
Jarrick Bernard,DB,205, 6-1,24,new-york-jets
Anders Carlson,K,220, 6-5,26,new-york-jets
Michael Carter,DB,184, 5-10,25,new-york-jets
Irvin Charles,WR,219, 6-4,27,new-york-jets
Chuck Clark,DB,210, 6-0,29,new-york-jets
Micheal Clemons,DE,270, 6-5,27,new-york-jets
Tyler Conklin,TE,254, 6-3,29,new-york-jets
Malachi Corley,WR,215, 5-11,22,new-york-jets
Ashtyn Davis,DB,202, 6-1,28,new-york-jets
Isaiah Davis,RB,220, 6-1,22,new-york-jets
Brandin Echols,DB,175, 5-10,27,new-york-jets
Samuel Eguavoen,LB,236, 6-0,31,new-york-jets
Olu Fashanu,OT,312, 6-6,21,new-york-jets
Ahmad Gardner,DB,200, 6-3,24,new-york-jets
Xavier Gipson,WR,189, 5-9,23,new-york-jets
Breece Hall,RB,220, 6-1,23,new-york-jets
Jake Hanson,OG,296, 6-4,27,new-york-jets
Thomas Hennessy,LS,246, 6-2,30,new-york-jets
Javon Kinlaw,DT,319, 6-5,27,new-york-jets
Marcelino McCrary-Ball,LB,214, 6-0,25,new-york-jets
Will McDonald,DE,241, 6-3,25,new-york-jets
Connor McGovern,C,306, 6-4,31,new-york-jets
Braiden McGregor,DE,254, 6-5,23,new-york-jets
Jalen Mills,DB,191, 6-0,30,new-york-jets
Max Mitchell,OT,299, 6-6,25,new-york-jets
Thomas Morstead,P,225, 6-4,38,new-york-jets
Morgan Moses,LB,231, 6-2,32,new-york-jets
Xavier Newman-Johnson,OG,297, 6-2,25,new-york-jets
Kene Nwangwu,RB,213, 6-1,26,new-york-jets
Isaiah Oliver,DB,210, 6-0,28,new-york-jets
Haason Reddick,DB,188, 5-9,28,new-york-jets
Aaron Rodgers,QB,223, 6-2,41,new-york-jets
Jeremy Ruckert,TE,250, 6-5,24,new-york-jets
Jamien Sherwood,LB,216, 6-2,24,new-york-jets
John Simpson,OG,330, 6-4,27,new-york-jets
Qwan'tez Stiggers,DB,197, 6-0,22,new-york-jets
Chazz Surratt,LB,233, 6-2,27,new-york-jets
Leonard Taylor,DT,303, 6-3,22,new-york-jets
Tyrod Taylor,QB,215, 6-1,35,new-york-jets
Solomon Thomas,DE,256, 6-2,28,new-york-jets
Joe Tippmann,C,317, 6-6,23,new-york-jets
Alijah Vera-Tucker,OG,308, 6-5,25,new-york-jets
Carter Warren,OT,323, 6-5,25,new-york-jets
Eric Watts,DE,274, 6-5,24,new-york-jets
Quincy Williams,LB,225, 5-11,28,new-york-jets
Quinnen Williams,DT,303, 6-3,26,new-york-jets
Garrett Wilson,WR,192, 6-0,24,new-york-jets
Zaire Barnes,LB,232, 6-1,25,new-york-jets
Jimmy Ciarlo,LB,229, 6-0,23,new-york-jets
Leki Fotu,DT,330, 6-5,26,new-york-jets
Jermaine Johnson,LB,262, 6-5,25,new-york-jets
Allen Lazard,WR,227, 6-5,28,new-york-jets
Marcus Riley,WR,174, 5-10,25,new-york-jets
Wes Schweitzer,OG,300, 6-4,31,new-york-jets
Tyron Smith,OT,311, 6-5,33,new-york-jets
Malik Taylor,WR,220, 6-3,28,new-york-jets
Greg Zuerlein,K,187, 6-0,36,new-york-jets
Jordan Travis,QB,200, 6-1,24,new-york-jets
Brenden Bates,TE,255, 6-5,25,new-york-jets
Jason Brownlee,WR,198, 6-2,25,new-york-jets
Obinna Eze,OT,325, 6-8,26,new-york-jets
Bruce Hector,DT,296, 6-2,30,new-york-jets
Zonovan Knight,RB,209, 5-10,23,new-york-jets
Zack Kuntz,TE,251, 6-8,25,new-york-jets
Kohl Levao,OL,324, 6-5,26,new-york-jets
Adrian Martinez,QB,220, 6-2,24,new-york-jets
Takkarist McKinley,DE,250, 6-2,29,new-york-jets
Jarius Monroe,DB,201, 6-0,24,new-york-jets
Kendall Sheffield,DB,212, 5-10,28,new-york-jets
Jackson Sirmon,LB,235, 6-2,24,new-york-jets
Brandon Smith,WR,220, 6-2,25,new-york-jets
Tre Swilling,DB,196, 6-0,25,new-york-jets
Easop Winston,WR,192, 6-0,27,new-york-jets
Anthony Firkser,TE,241, 6-2,29,new-york-jets
Jalyn Holmes,DT,283, 6-5,28,new-york-jets
Alec Lindstrom,C,300, 6-3,26,new-york-jets
Riley Patterson,K,190, 6-0,25,new-york-jets
Spencer Shrader,K,201, 6-2,25,new-york-jets
Nelson Agholor,WR,200, 6-0,31,baltimore-ravens
Rasheen Ali,RB,197, 5-11,23,baltimore-ravens
Mark Andrews,TE,247, 6-5,29,baltimore-ravens
Jalyn Armour-Davis,DB,197, 6-1,25,baltimore-ravens
Rashod Bateman,WR,197, 6-1,25,baltimore-ravens
Chris Board,LB,229, 6-2,29,baltimore-ravens
Beau Brade,DB,203, 6-0,22,baltimore-ravens
Ben Cleveland,OG,370, 6-6,26,baltimore-ravens
Daniel Faalele,OG,380, 6-8,25,baltimore-ravens
Zay Flowers,WR,182, 5-9,24,baltimore-ravens
Kyle Hamilton,DB,220, 6-4,23,baltimore-ravens
Malik Harrison,LB,259, 6-3,26,baltimore-ravens
Derrick Henry,RB,247, 6-2,30,baltimore-ravens
Justice Hill,RB,197, 5-10,27,baltimore-ravens
Marlon Humphrey,DB,201, 6-0,28,baltimore-ravens
Adisa Isaac,LB,253, 6-4,23,baltimore-ravens
Lamar Jackson,QB,215, 6-2,27,baltimore-ravens
Diontae Johnson,WR,183, 5-10,28,baltimore-ravens
Josh Johnson,QB,214, 6-3,38,baltimore-ravens
Josh Jones,OT,319, 6-5,27,baltimore-ravens
Travis Jones,DT,338, 6-4,25,baltimore-ravens
Sanoussi Kane,DB,207, 5-11,23,baltimore-ravens
William Kwenkeu,LB,235, 6-1,26,baltimore-ravens
Isaiah Likely,TE,241, 6-4,24,baltimore-ravens
Tyler Linderbaum,C,305, 6-2,24,baltimore-ravens
Justin Madubuike,DT,305, 6-3,27,baltimore-ravens
Patrick Mekari,OT,305, 6-4,27,baltimore-ravens
Keaton Mitchell,RB,191, 5-8,22,baltimore-ravens
Nick Moore,LS,260, 6-2,31,baltimore-ravens
David Ojabo,LB,265, 6-4,24,baltimore-ravens
Jayson Oweh,LB,257, 6-5,25,baltimore-ravens
Patrick Ricard,RB,305, 6-3,30,baltimore-ravens
Tavius Robinson,LB,258, 6-6,25,baltimore-ravens
Roger Rosengarten,OT,310, 6-5,22,baltimore-ravens
Nick Samac,C,307, 6-4,23,baltimore-ravens
Trenton Simpson,LB,238, 6-2,23,baltimore-ravens
Roquan Smith,LB,236, 6-1,27,baltimore-ravens
Ronnie Stanley,OT,315, 6-6,30,baltimore-ravens
Brandon Stephens,DB,215, 6-1,26,baltimore-ravens
Jordan Stout,P,207, 6-3,26,baltimore-ravens
Justin Tucker,K,188, 6-1,35,baltimore-ravens
Brent Urban,DE,309, 6-7,33,baltimore-ravens
Andrew Vorhees,OG,310, 6-6,25,baltimore-ravens
Devontez Walker,WR,191, 6-1,23,baltimore-ravens
Tylan Wallace,WR,198, 5-11,25,baltimore-ravens
