Name,Position,Weigth,Height,Age,Team
Corey Bojorquez,P,217, 6-0,28,cleveland-browns
Devin Bush,LB,234, 5-11,26,cleveland-browns
Geron Christian,OT,315, 6-5,28,cleveland-browns
Nick Chubb,RB,227, 5-11,28,cleveland-browns
Jack Conklin,OT,308, 6-6,30,cleveland-browns
Jaelon Darden,WR,175, 5-8,25,cleveland-browns
Grant Delpit,DB,208, 6-3,26,cleveland-browns
Mohamoud Diabate,LB,225, 6-4,23,cleveland-browns
Michael Dunn,OG,315, 6-5,30,cleveland-browns
Martin Emerson,DB,201, 6-2,24,cleveland-browns
Jerome Ford,RB,210, 5-10,25,cleveland-browns
Mike Ford,DB,195, 6-0,29,cleveland-browns
D'Onta Foreman,RB,235, 6-0,28,cleveland-browns
Myles Garrett,DE,272, 6-4,28,cleveland-browns
Shelby Harris,DT,288, 6-2,33,cleveland-browns
Ronnie Hickman,DB,209, 6-1,23,cleveland-browns
Jordan Hicks,LB,235, 6-1,32,cleveland-browns
Dustin Hopkins,K,210, 6-2,34,cleveland-browns
James Houston,DE,248, 6-1,26,cleveland-browns
Khaleke Hudson,LB,220, 6-0,26,cleveland-browns
Maurice Hurst,DT,290, 6-2,29,cleveland-browns
Germain Ifedi,OG,325, 6-5,30,cleveland-browns
Jerry Jeudy,WR,195, 6-1,25,cleveland-browns
Sam Kamara,DE,272, 6-0,26,cleveland-browns
Isaiah McGuire,DE,268, 6-4,23,cleveland-browns
Rodney McLeod,DB,185, 5-10,34,cleveland-browns
Cameron Mitchell,DB,191, 5-11,23,cleveland-browns
Elijah Moore,WR,180, 5-10,24,cleveland-browns
Greg Newsome,DB,192, 6-0,24,cleveland-browns
David Njoku,TE,246, 6-4,28,cleveland-browns
Ogbonnia Okoronkwo,DE,250, 6-2,29,cleveland-browns
Ethan Pocic,C,320, 6-6,29,cleveland-browns
Winston Reid,LB,225, 6-0,25,cleveland-browns
Pierre Strong,RB,215, 5-11,25,cleveland-browns
Rex Sunahara,LS,242, 6-6,28,cleveland-browns
Wyatt Teller,OG,315, 6-4,30,cleveland-browns
Cameron Thomas,DE,265, 6-4,24,cleveland-browns
Dorian Thompson-Robinson,QB,203, 6-2,25,cleveland-browns
Juan Thornhill,DB,205, 6-0,29,cleveland-browns
Jamari Thrash,WR,190, 6-0,23,cleveland-browns
Cedric Tillman,WR,215, 6-3,24,cleveland-browns
Dalvin Tomlinson,DT,325, 6-3,30,cleveland-browns
Denzel Ward,DB,190, 5-11,27,cleveland-browns
Nathaniel Watson,LB,233, 6-0,24,cleveland-browns
Blake Whiteheart,TE,250, 6-4,24,cleveland-browns
Jedrick Wills,OT,307, 6-4,25,cleveland-browns
Jameis Winston,QB,230, 6-4,30,cleveland-browns
Bailey Zappe,QB,215, 6-1,25,cleveland-browns
Hakeem Adeniji,OT,315, 6-4,26,cleveland-browns
David Bell,WR,212, 6-1,23,cleveland-browns
Brandon Bouyer-Randle,LB,240, 6-2,27,cleveland-browns
Tony Brown,DB,198, 6-0,29,cleveland-browns
Michael Hall,DT,300, 6-3,21,cleveland-browns
Myles Harden,DB,195, 5-11,22,cleveland-browns
Nick Harris,C,293, 6-1,26,cleveland-browns
James Hudson,OT,313, 6-5,25,cleveland-browns
Charley Hughlett,LS,248, 6-4,34,cleveland-browns
Dawand Jones,OT,374, 6-8,23,cleveland-browns
Jeremiah Owusu-Koramoah,LB,221, 6-2,25,cleveland-browns
Geoff Swaim,TE,260, 6-4,31,cleveland-browns
Deshaun Watson,QB,223, 6-3,29,cleveland-browns
Alex Wright,DE,267, 6-5,24,cleveland-browns
Luke Wypler,C,303, 6-3,23,cleveland-browns
Nyheim Hines,RB,198, 5-8,28,cleveland-browns
Jowon Briggs,DT,313, 6-1,23,cleveland-browns
Javion Cohen,OG,319, 6-4,22,cleveland-browns
Trey Dean,DB,200, 6-2,24,cleveland-browns
Chris Edmonds,DB,210, 6-2,23,cleveland-browns
Kahlef Hailassie,DB,195, 6-1,24,cleveland-browns
Marcus Haynes,LB,240, 6-4,26,cleveland-browns
Cameron Latu,TE,245, 6-5,24,cleveland-browns
Roy Mbaeteka,OT,315, 6-7,24,cleveland-browns
James Proche,WR,193, 5-11,28,cleveland-browns
Elerson Smith,LB,245, 6-7,26,cleveland-browns
Lorenzo Thompson,OT,295, 6-7,24,cleveland-browns
Cameron Tom,C,287, 6-4,29,cleveland-browns
Kadarius Toney,WR,193, 6-0,25,cleveland-browns
Gary Brightwell,RB,218, 6-1,25,cleveland-browns
Amari Cooper,WR,210, 6-1,30,cleveland-browns
Tony Fields,LB,222, 6-0,25,cleveland-browns
Quinton Jefferson,DT,291, 6-4,31,cleveland-browns
Kyle Allen,QB,210, 6-3,28,pittsburgh-steelers
Calvin Anderson,OT,300, 6-5,28,pittsburgh-steelers
Spencer Anderson,OT,305, 6-5,24,pittsburgh-steelers
Calvin Austin,WR,162, 5-9,25,pittsburgh-steelers
Keeanu Benton,DT,309, 6-4,23,pittsburgh-steelers
Chris Boswell,K,185, 6-2,33,pittsburgh-steelers
DeShon Elliott,DB,210, 6-0,27,pittsburgh-steelers
Justin Fields,QB,227, 6-3,25,pittsburgh-steelers
Minkah Fitzpatrick,DB,207, 6-1,28,pittsburgh-steelers
Zach Frazier,C,310, 6-3,23,pittsburgh-steelers
Pat Freiermuth,TE,258, 6-5,26,pittsburgh-steelers
Najee Harris,RB,242, 6-1,26,pittsburgh-steelers
Nick Herbig,LB,240, 6-2,23,pittsburgh-steelers
Cameron Heyward,DT,295, 6-5,35,pittsburgh-steelers
Connor Heyward,TE,230, 6-0,25,pittsburgh-steelers
Alex Highsmith,LB,242, 6-4,27,pittsburgh-steelers
Donte Jackson,DB,180, 5-10,29,pittsburgh-steelers
Van Jefferson,WR,200, 6-1,28,pittsburgh-steelers
Broderick Jones,OT,311, 6-5,23,pittsburgh-steelers
Damontae Kazee,DB,174, 5-11,31,pittsburgh-steelers
Miles Killebrew,DB,222, 6-2,31,pittsburgh-steelers
Christian Kuntz,LS,228, 6-1,30,pittsburgh-steelers
Isaiahh Loudermilk,DT,293, 6-7,27,pittsburgh-steelers
Dean Lowry,DT,296, 6-6,30,pittsburgh-steelers
Tyler Matakevich,LB,235, 6-1,31,pittsburgh-steelers
Ryan McCollum,C,300, 6-5,26,pittsburgh-steelers
Mason McCormick,OG,315, 6-5,24,pittsburgh-steelers
Scott Miller,WR,174, 5-9,27,pittsburgh-steelers
Jeremiah Moon,LB,247, 6-5,26,pittsburgh-steelers
Dan Moore,OT,315, 6-5,26,pittsburgh-steelers
Larry Ogunjobi,DT,305, 6-3,30,pittsburgh-steelers
Cordarrelle Patterson,RB,220, 6-2,33,pittsburgh-steelers
George Pickens,WR,200, 6-3,23,pittsburgh-steelers
James Pierre,DB,185, 6-2,28,pittsburgh-steelers
MyCole Pruitt,TE,258, 6-2,32,pittsburgh-steelers
Patrick Queen,LB,232, 6-0,25,pittsburgh-steelers
Elandon Roberts,LB,238, 6-1,30,pittsburgh-steelers
Mark Robinson,LB,235, 5-11,25,pittsburgh-steelers
Max Scharping,OG,327, 6-6,28,pittsburgh-steelers
Isaac Seumalo,OG,303, 6-4,31,pittsburgh-steelers
Ben Skowronek,WR,224, 6-3,27,pittsburgh-steelers
Preston Smith,LB,271, 6-5,32,pittsburgh-steelers
Cameron Sutton,DB,188, 5-11,29,pittsburgh-steelers
Corliss Waitman,P,210, 6-2,29,pittsburgh-steelers
Jonathan Ward,RB,202, 6-0,27,pittsburgh-steelers
Jaylen Warren,RB,215, 5-8,26,pittsburgh-steelers
Darnell Washington,LB,252, 6-4,30,pittsburgh-steelers
Mike Williams,WR,220, 6-3,30,pittsburgh-steelers
Payton Wilson,LB,242, 6-4,24,pittsburgh-steelers
Montravius Adams,DT,304, 6-4,30,pittsburgh-steelers
James Daniels,OG,327, 6-4,27,pittsburgh-steelers
Troy Fautanu,DB,204, 6-1,26,pittsburgh-steelers
Nate Herbig,OG,334, 6-4,30,pittsburgh-steelers
Cameron Johnston,P,194, 5-11,32,pittsburgh-steelers
DeMarvin Leal,DE,290, 6-4,24,pittsburgh-steelers
Logan Lee,DT,286, 6-5,24,pittsburgh-steelers
David Perales,LB,255, 6-3,25,pittsburgh-steelers
Cory Trice,DB,206, 6-3,24,pittsburgh-steelers
Ryan Watts,DB,212, 6-3,23,pittsburgh-steelers
Cole Holcomb,LB,240, 6-1,28,pittsburgh-steelers
Jamal Agnew,WR,190, 5-10,29,pittsburgh-steelers
Dylan Cook,OT,305, 6-6,26,pittsburgh-steelers
Domenique Davis,DT,326, 6-2,28,pittsburgh-steelers
Breiden Fehoko,DT,300, 6-3,28,pittsburgh-steelers
Devin Harper,LB,234, 6-0,26,pittsburgh-steelers
D'Shawn Jamison,DB,186, 5-9,25,pittsburgh-steelers
Brandon Johnson,WR,195, 6-2,26,pittsburgh-steelers
Eku Leota,LB,257, 6-4,25,pittsburgh-steelers
Doug Nester,OG,306, 6-6,24,pittsburgh-steelers
Adetokunbo Ogundeji,LB,268, 6-4,26,pittsburgh-steelers
Ayo Oyelola,DB,213, 5-11,26,pittsburgh-steelers
Eric Rowe,DB,210, 6-1,32,pittsburgh-steelers
Aaron Shampklin,RB,195, 5-10,25,pittsburgh-steelers
Jacob Slade,DT,305, 6-4,24,pittsburgh-steelers
Matt Sokol,TE,249, 6-5,29,pittsburgh-steelers
Quez Watkins,WR,193, 6-0,26,pittsburgh-steelers
Julius Welschof,LB,265, 6-6,27,pittsburgh-steelers
Zyon Gilbert,DB,193, 6-0,25,pittsburgh-steelers
Terrell Edmunds,DB,217, 6-1,27,pittsburgh-steelers
Jalen Elliott,DB,205, 6-1,26,pittsburgh-steelers
Thomas Graham,DB,196, 5-10,25,pittsburgh-steelers
Darius Rush,DB,198, 6-2,24,pittsburgh-steelers
Azeez Al-Shaair,LB,228, 6-2,27,houston-texans
Will Anderson,DE,243, 6-4,23,houston-texans
Denico Autry,DE,273, 6-5,34,houston-texans
Derek Barnett,DE,259, 6-3,28,houston-texans
Kris Boyd,DB,200, 5-11,28,houston-texans
Nick Broeker,OG,305, 6-4,24,houston-texans
Myles Bryant,DB,185, 5-9,26,houston-texans
Calen Bullock,DB,190, 6-3,21,houston-texans
Nico Collins,WR,215, 6-4,25,houston-texans
Nathaniel Dell,WR,165, 5-10,25,houston-texans
Ka'imi Fairbairn,K,183, 6-0,30,houston-texans
Folorunso Fatukasi,DT,318, 6-4,29,houston-texans
Blake Fisher,OT,310, 6-6,21,houston-texans
Kendrick Green,C,315, 6-4,25,houston-texans
Jake Hansen,LB,235, 6-1,26,houston-texans
Neville Hewitt,LB,234, 6-2,31,houston-texans
Jamal Hill,LB,226, 6-0,23,houston-texans
Kurt Hinish,DT,300, 6-2,25,houston-texans
Dylan Horton,DE,275, 6-4,24,houston-texans
Tytus Howard,OT,322, 6-5,28,houston-texans
Jerry Hughes,DE,255, 6-2,36,houston-texans
Danielle Hunter,DE,263, 6-5,30,houston-texans
Xavier Hutchinson,WR,205, 6-3,24,houston-texans
Kamari Lassiter,DB,180, 6-0,21,houston-texans
Shaquille Mason,OG,310, 6-1,31,houston-texans
John Metchie,WR,187, 5-11,24,houston-texans
Davis Mills,QB,225, 6-4,26,houston-texans
Joe Mixon,RB,228, 6-1,28,houston-texans
Eric Murray,DB,199, 5-11,30,houston-texans
Dare Ogunbowale,RB,205, 5-10,30,houston-texans
Jeffrey Okudah,DB,202, 6-1,25,houston-texans
Jarrett Patterson,C,310, 6-4,25,houston-texans
Del'Shawn Phillips,LB,230, 6-2,28,houston-texans
Dameon Pierce,RB,218, 5-10,24,houston-texans
Jalen Pitre,DB,198, 5-11,25,houston-texans
Dalton Schultz,TE,244, 6-5,28,houston-texans
Juice Scruggs,OG,308, 6-3,24,houston-texans
Tim Settle,DT,328, 6-3,27,houston-texans
Steven Sims,WR,176, 5-10,27,houston-texans
Irv Smith,DB,200, 5-11,29,houston-texans
Derek Stingley,DB,190, 6-0,23,houston-texans
Cade Stover,TE,255, 6-4,24,houston-texans
Zachary Thomas,OT,300, 6-5,26,houston-texans
Tommy Togiai,DT,296, 6-2,25,houston-texans
Tommy Townsend,P,176, 6-1,28,houston-texans
Laremy Tunsil,OT,313, 6-5,30,houston-texans
Jimmie Ward,DB,195, 5-11,33,houston-texans
Jared Wayne,WR,210, 6-3,24,houston-texans
Jonathan Weeks,LS,242, 5-10,38,houston-texans
Devin White,LB,237, 6-0,26,houston-texans
Robert Woods,WR,195, 6-0,32,houston-texans
British Brooks,RB,225, 5-11,25,houston-texans
Stefon Diggs,WR,191, 6-0,31,houston-texans
Kenyon Green,OG,323, 6-4,23,houston-texans
Christian Harris,LB,226, 6-1,23,houston-texans
Brandon Hill,DB,195, 5-11,24,houston-texans
Ka'dar Hollman,DB,196, 6-0,30,houston-texans
Brevin Jordan,TE,245, 6-3,24,houston-texans
Dalton Keene,TE,251, 6-4,25,houston-texans
Case Keenum,QB,206, 6-1,36,houston-texans
Teagan Quitoriano,TE,258, 6-6,24,houston-texans
Jaylon Thomas,OT,311, 6-5,24,houston-texans
LaDarius Henderson,OG,314, 6-2,26,houston-texans
Andrew Beck,RB,255, 6-3,28,houston-texans
Solomon Byrd,DE,255, 6-3,25,houston-texans
Troy Hairston,RB,245, 5-11,25,houston-texans
Johnny Johnson,WR,199, 6-1,25,houston-texans
Xavier Johnson,WR,204, 6-1,25,houston-texans
Jawhar Jordan,RB,186, 5-10,25,houston-texans
Gregory Junior,DB,190, 6-0,25,houston-texans
Jayden Peevy,DE,308, 6-5,25,houston-texans
Scott Quessenberry,C,310, 6-4,29,houston-texans
D'Angelo Ross,DB,190, 5-9,28,houston-texans
Kedon Slovis,QB,223, 6-2,23,houston-texans
Cam Akers,RB,217, 5-10,25,houston-texans
Khalil Davis,DT,315, 6-2,28,houston-texans
Desmond King,DB,200, 5-10,29,houston-texans
Ezekiel Turner,LB,214, 6-2,28,houston-texans
Adetomiwa Adebawore,DT,282, 6-2,23,indianapolis-colts
Mo Alie-Cox,TE,267, 6-5,31,indianapolis-colts
Julian Blackmon,DB,202, 6-0,26,indianapolis-colts
Tanor Bortolini,OG,303, 6-4,22,indianapolis-colts
Taven Bryan,DT,291, 6-4,28,indianapolis-colts
DeForest Buckner,DT,295, 6-7,30,indianapolis-colts
Nick Cross,DB,212, 6-0,23,indianapolis-colts
Raekwon Davis,DT,325, 6-7,27,indianapolis-colts
Josh Downs,WR,171, 5-9,23,indianapolis-colts
Ashton Dulin,WR,215, 6-2,27,indianapolis-colts
Sam Ehlinger,QB,225, 6-2,26,indianapolis-colts
Joe Flacco,QB,230, 6-6,39,indianapolis-colts
Zaire Franklin,LB,235, 6-0,28,indianapolis-colts
Blake Freeland,OT,302, 6-7,23,indianapolis-colts
Matt Gay,K,232, 6-0,30,indianapolis-colts
Mark Glowinski,OG,310, 6-4,32,indianapolis-colts
Matt Goncalves,OT,317, 6-6,23,indianapolis-colts
Tyler Goodson,RB,197, 5-9,24,indianapolis-colts
Anthony Gould,WR,174, 5-8,23,indianapolis-colts
Kylen Granson,TE,242, 6-3,26,indianapolis-colts
Darren Hall,DB,190, 6-0,24,indianapolis-colts
Ronnie Harrison,DB,207, 6-2,27,indianapolis-colts
Jaylon Jones,DB,203, 6-2,22,indianapolis-colts
Chris Lammons,DB,190, 5-10,28,indianapolis-colts
Isaiah Land,DE,225, 6-4,24,indianapolis-colts
Laiatu Latu,DE,265, 6-5,23,indianapolis-colts
Tyquan Lewis,DE,267, 6-3,29,indianapolis-colts
David Long,DB,196, 5-11,26,indianapolis-colts
Atonio Mafi,OG,330, 6-3,24,indianapolis-colts
Will Mallory,TE,239, 6-4,25,indianapolis-colts
Cameron McGrone,LB,236, 6-1,24,indianapolis-colts
Adonai Mitchell,WR,205, 6-2,22,indianapolis-colts
Kenny Moore,DB,190, 5-9,29,indianapolis-colts
Quenton Nelson,OG,330, 6-5,28,indianapolis-colts
Dayo Odeyingbo,DE,286, 6-6,25,indianapolis-colts
Andrew Ogletree,TE,260, 6-5,26,indianapolis-colts
Segun Olubi,LB,225, 6-0,25,indianapolis-colts
Kwity Paye,DE,265, 6-3,26,indianapolis-colts
Alec Pierce,WR,211, 6-3,24,indianapolis-colts
Danny Pinter,C,301, 6-4,28,indianapolis-colts
Michael Pittman,WR,223, 6-4,27,indianapolis-colts
Bernhard Raimann,OT,303, 6-6,27,indianapolis-colts
Luke Rhodes,LS,238, 6-2,32,indianapolis-colts
Anthony Richardson,QB,244, 6-4,22,indianapolis-colts
Rigoberto Sanchez,P,195, 6-0,30,indianapolis-colts
Trey Sermon,RB,215, 6-0,25,indianapolis-colts
Braden Smith,LB,227, 6-4,29,indianapolis-colts
Grover Stewart,DT,314, 6-4,31,indianapolis-colts
Grant Stuard,LB,230, 5-11,26,indianapolis-colts
Jonathan Taylor,RB,226, 5-10,25,indianapolis-colts
Rodney Thomas,DB,196, 6-1,26,indianapolis-colts
Laquon Treadwell,WR,215, 6-2,29,indianapolis-colts
Dalton Tucker,OG,307, 6-6,24,indianapolis-colts
Julius Brents,DB,198, 6-3,24,indianapolis-colts
Jaylon Carlies,LB,227, 6-3,23,indianapolis-colts
Ryan Coll,C,324, 6-5,23,indianapolis-colts
Trevor Denbow,DB,208, 5-10,26,indianapolis-colts
Samson Ebukam,DE,245, 6-3,29,indianapolis-colts
Wesley French,C,307, 6-4,28,indianapolis-colts
Will Fries,OG,305, 6-6,26,indianapolis-colts
Ryan Kelly,C,307, 6-4,31,indianapolis-colts
Daniel Scott,DB,208, 6-1,26,indianapolis-colts
Juwann Winfree,WR,210, 6-1,28,indianapolis-colts
Salvon Ahmed,RB,196, 5-11,25,indianapolis-colts
Austin Ajiake,LB,223, 6-1,24,indianapolis-colts
Jason Bean,QB,196, 6-2,25,indianapolis-colts
Mason Brooks,OG,315, 6-6,25,indianapolis-colts
Marcel Dabo,DB,208, 6-0,24,indianapolis-colts
Tre Flowers,DB,203, 6-3,29,indianapolis-colts
Trysten Hill,DT,310, 6-3,26,indianapolis-colts
Evan Hull,RB,209, 5-10,24,indianapolis-colts
Alex Johnson,DB,185, 6-0,24,indianapolis-colts
Sean McKeon,WR,201, 6-1,28,indianapolis-colts
Durell Nchami,LB,258, 6-4,24,indianapolis-colts
Josh Sills,OG,325, 6-6,26,indianapolis-colts
Liam Anderson,LB,226, 6-3,24,indianapolis-colts
Genard Avery,LB,250, 6-0,29,indianapolis-colts
Dallis Flowers,DB,196, 6-1,27,indianapolis-colts
Adam Gotsis,DE,287, 6-4,32,indianapolis-colts
Kelvin Joseph,DB,192, 6-1,24,indianapolis-colts
Spencer Shrader,K,201, 6-2,25,indianapolis-colts
Yasir Abdullah,LB,234, 6-1,24,jacksonville-jaguars
Arik Armstead,QB,215, 6-2,31,jacksonville-jaguars
Cartavious Bigsby,RB,213, 6-0,23,jacksonville-jaguars
Montaric Brown,DB,190, 6-0,25,jacksonville-jaguars
Tyson Campbell,DB,195, 6-1,24,jacksonville-jaguars
Andre Cisco,DB,210, 6-0,24,jacksonville-jaguars
Ezra Cleveland,OG,311, 6-6,26,jacksonville-jaguars
Myles Cole,DE,278, 6-6,24,jacksonville-jaguars
Logan Cooke,P,230, 6-5,29,jacksonville-jaguars
Elijah Cooks,WR,215, 6-4,26,jacksonville-jaguars
Ronald Darby,DB,193, 5-11,30,jacksonville-jaguars
Josiah Deguara,TE,238, 6-2,27,jacksonville-jaguars
Devin Duvernay,WR,200, 5-11,27,jacksonville-jaguars
Evan Engram,TE,240, 6-3,30,jacksonville-jaguars
Travis Etienne,RB,215, 5-10,25,jacksonville-jaguars
Luke Farrell,TE,250, 6-5,27,jacksonville-jaguars
Luke Fortner,C,307, 6-6,26,jacksonville-jaguars
Javon Foster,OT,313, 6-5,24,jacksonville-jaguars
Davon Hamilton,DT,335, 6-4,27,jacksonville-jaguars
Blake Hance,OT,310, 6-5,28,jacksonville-jaguars
Anton Harrison,OT,315, 6-5,22,jacksonville-jaguars
Joshua Hines-Allen,DE,255, 6-5,27,jacksonville-jaguars
Jordan Jefferson,DT,316, 6-2,23,jacksonville-jaguars
Antonio Johnson,DB,195, 6-3,23,jacksonville-jaguars
Caleb Johnson,LB,220, 6-2,26,jacksonville-jaguars
D'Ernest Johnson,RB,208, 5-10,28,jacksonville-jaguars
Jarrian Jones,DB,190, 5-11,23,jacksonville-jaguars
Mac Jones,QB,214, 6-3,26,jacksonville-jaguars
Tim Jones,WR,200, 6-1,26,jacksonville-jaguars
Tyler Lacy,DT,285, 6-4,25,jacksonville-jaguars
Trevor Lawrence,QB,220, 6-6,25,jacksonville-jaguars
Jeremiah Ledbetter,DT,299, 6-3,29,jacksonville-jaguars
Cam Little,K,172, 6-1,21,jacksonville-jaguars
Walker Little,OT,325, 6-7,25,jacksonville-jaguars
Devin Lloyd,LB,235, 6-3,26,jacksonville-jaguars
Ross Matiscik,LS,240, 6-0,28,jacksonville-jaguars
Ventrell Miller,LB,221, 6-0,25,jacksonville-jaguars
Mitch Morse,C,305, 6-5,32,jacksonville-jaguars
Chad Muma,LB,239, 6-3,25,jacksonville-jaguars
Foyesade Oluokun,LB,230, 6-2,29,jacksonville-jaguars
Esezi Otomewo,DT,282, 6-5,25,jacksonville-jaguars
Deantre Prince,DB,183, 6-0,24,jacksonville-jaguars
Keilan Robinson,RB,191, 5-8,24,jacksonville-jaguars
Darnell Savage,DB,198, 5-11,27,jacksonville-jaguars
Brandon Scherff,OG,315, 6-5,32,jacksonville-jaguars
Maason Smith,DT,306, 6-5,22,jacksonville-jaguars
Brenton Strange,TE,247, 6-3,23,jacksonville-jaguars
Brian Thomas,WR,205, 6-4,22,jacksonville-jaguars
Daniel Thomas,DB,215, 5-10,26,jacksonville-jaguars
Travon Walker,DE,272, 6-5,23,jacksonville-jaguars
Parker Washington,WR,212, 5-10,22,jacksonville-jaguars
Gabriel Davis,WR,210, 6-2,25,jacksonville-jaguars
De'Shaan Dixon,LB,247, 6-5,25,jacksonville-jaguars
Cooper Hodges,OT,311, 6-3,24,jacksonville-jaguars
Christian Kirk,WR,200, 5-11,28,jacksonville-jaguars
Shawn Bowman,TE,249, 6-4,24,jacksonville-jaguars
Christian Braswell,DB,181, 5-10,25,jacksonville-jaguars
Jerome Carvin,OG,307, 6-5,24,jacksonville-jaguars
Joshua Cephus,DE,283, 6-5,26,jacksonville-jaguars
Dennis Daley,OT,326, 6-6,28,jacksonville-jaguars
Joe Gaziano,DE,280, 6-4,28,jacksonville-jaguars
Tyler Hall,DB,190, 5-10,26,jacksonville-jaguars
Matthew Jackson,DB,209, 6-1,26,jacksonville-jaguars
Velus Jones,WR,200, 6-0,27,jacksonville-jaguars
Zech McPhearson,DB,191, 5-11,26,jacksonville-jaguars
Anthony Pittman,LB,224, 6-3,28,jacksonville-jaguars
Louis Rees-Zammit,RB,209, 6-2,23,jacksonville-jaguars
Tyler Shatley,OG,305, 6-3,33,jacksonville-jaguars
Terrell Edmunds,DB,217, 6-1,27,jacksonville-jaguars
Tre Flowers,DB,203, 6-3,29,jacksonville-jaguars
Tanner Muse,LB,227, 6-2,28,jacksonville-jaguars
Roy Robertson-Harris,DT,268, 6-7,31,jacksonville-jaguars
Tre Avery,DB,181, 5-11,27,tennessee-titans
Darrell Baker,DB,190, 6-1,26,tennessee-titans
Jerome Baker,LB,232, 6-2,27,tennessee-titans
Tyler Boyd,WR,203, 6-2,31,tennessee-titans
Mike Brown,DB,215, 6-1,25,tennessee-titans
Jarvis Brownlee,DB,194, 5-10,23,tennessee-titans
Daniel Brunskill,OG,300, 6-5,30,tennessee-titans
Logan Bruss,OG,317, 6-5,26,tennessee-titans
Julius Chestnut,RB,228, 5-11,24,tennessee-titans
Keondre Coburn,DT,332, 6-2,24,tennessee-titans
Morgan Cox,LS,233, 6-4,38,tennessee-titans
Nick Folk,K,225, 6-1,40,tennessee-titans
Ali Gaye,LB,265, 6-6,27,tennessee-titans
Luke Gifford,LB,243, 6-3,29,tennessee-titans
Cedric Gray,LB,234, 6-2,22,tennessee-titans
Justin Hardee,DB,200, 6-0,30,tennessee-titans
Jaylen Harrell,LB,247, 6-4,22,tennessee-titans
Amani Hooker,DB,210, 5-11,26,tennessee-titans
Jha'Quan Jackson,WR,188, 5-9,24,tennessee-titans
Gabe Jeudy-Lally,DB,189, 6-1,23,tennessee-titans
Sebastian Joseph,DE,310, 6-4,29,tennessee-titans
Joshua Kelley,RB,212, 5-11,27,tennessee-titans
Arden Key,LB,240, 6-5,28,tennessee-titans
Harold Landry,LB,252, 6-2,28,tennessee-titans
JC Latham,OT,342, 6-6,21,tennessee-titans
Corey Levin,C,307, 6-4,30,tennessee-titans
Will Levis,QB,229, 6-4,25,tennessee-titans
James Lynch,DT,289, 6-4,25,tennessee-titans
David Martin-Robinson,TE,247, 6-3,24,tennessee-titans
Roger McCreary,DB,190, 5-11,24,tennessee-titans
Kenneth Murray,LB,241, 6-2,26,tennessee-titans
John Ojukwu,OT,309, 6-5,25,tennessee-titans
Chigoziem Okonkwo,TE,238, 6-3,25,tennessee-titans
Bryce Oliver,WR,214, 6-1,24,tennessee-titans
Nicholas Petit-Frere,OT,316, 6-5,25,tennessee-titans
Tony Pollard,RB,215, 6-0,27,tennessee-titans
Dillon Radunz,OT,301, 6-6,26,tennessee-titans
Otis Reese,LB,214, 6-3,26,tennessee-titans
Calvin Ridley,WR,190, 6-1,29,tennessee-titans
Mason Rudolph,QB,235, 6-5,29,tennessee-titans
Jeffery Simmons,DT,305, 6-4,27,tennessee-titans
Peter Skoronski,OT,313, 6-4,23,tennessee-titans
Tyjae Spears,RB,195, 5-11,23,tennessee-titans
Ryan Stonehouse,P,193, 5-10,25,tennessee-titans
T'Vondre Sweat,DT,362, 6-4,23,tennessee-titans
Nick Vannett,TE,257, 6-5,31,tennessee-titans
Leroy Watson,OT,311, 6-5,26,tennessee-titans
Nick Westbrook,WR,211, 6-2,27,tennessee-titans
Josh Whyle,TE,248, 6-7,25,tennessee-titans
James Williams,LB,232, 6-4,21,tennessee-titans
Julius Wood,DB,193, 6-1,23,tennessee-titans
Daryl Worley,DB,205, 6-1,29,tennessee-titans
Chidobe Awuzie,DB,202, 5-11,29,tennessee-titans
Treylon Burks,WR,225, 6-2,24,tennessee-titans
Chance Campbell,LB,232, 6-2,25,tennessee-titans
Lloyd Cushenberry,C,315, 6-4,27,tennessee-titans
Marlon Davidson,DT,303, 6-3,26,tennessee-titans
Quandre Diggs,DB,197, 5-9,31,tennessee-titans
Jaelyn Duncan,OT,306, 6-6,24,tennessee-titans
Jack Gibbens,DE,275, 6-4,25,tennessee-titans
Andrew Rupcich,OT,318, 6-6,25,tennessee-titans
L'Jarius Sneed,DB,192, 6-1,27,tennessee-titans
Garret Wallow,LB,230, 6-2,25,tennessee-titans
McTelvin Agim,DT,300, 6-3,27,tennessee-titans
Abdullah Anderson,DT,295, 6-4,28,tennessee-titans
Chandler Brewer,OT,320, 6-6,27,tennessee-titans
Kendell Brooks,DB,206, 6-0,24,tennessee-titans
Khalid Duke,LB,246, 6-3,23,tennessee-titans
Arlington Hambright,OG,315, 6-5,28,tennessee-titans
Isaiah Iton,DT,277, 6-2,23,tennessee-titans
Kyron Johnson,LB,235, 6-0,26,tennessee-titans
Mason Kinsey,WR,200, 5-10,26,tennessee-titans
Tay Martin,WR,185, 6-3,26,tennessee-titans
Stanley Morgan,WR,205, 6-0,28,tennessee-titans
Thomas Odukoya,TE,253, 6-6,27,tennessee-titans
Gervarrius Owens,DB,200, 6-0,25,tennessee-titans
Isaiah Prince,OT,305, 6-7,27,tennessee-titans
Trevor Siemian,QB,220, 6-3,32,tennessee-titans
Jamal Adams,DB,213, 6-1,29,tennessee-titans
DeAndre Hopkins,WR,218, 6-1,32,tennessee-titans
