Name,Position,Weight,Height,Age,Team
Braxton Berrios,WR,185,69,29,miami-dolphins
Tyus Bowser,LB,240,74,29,miami-dolphins
Cam Brown,LB,235,77,26,miami-dolphins
Tanner Conner,TE,232,75,26,miami-dolphins
Grant DuBose,WR,201,74,23,miami-dolphins
Austin Jackson,OT,320,77,25,miami-dolphins
Grayson Murphy,DE,249,74,24,miami-dolphins
Jaelan Phillips,LB,263,77,25,miami-dolphins
Anthony Schwartz,WR,186,72,24,miami-dolphins
Kion Smith,OT,306,77,26,miami-dolphins
Tahj Washington,WR,174,70,23,miami-dolphins
Bradley Chubb,LB,268,76,28,miami-dolphins
Blake Ferguson,LS,240,75,27,miami-dolphins
Tarik Black,WR,213,75,26,miami-dolphins
William Bradley-King,DE,265,76,26,miami-dolphins
Shakel Brown,DT,295,75,25,miami-dolphins
Jackson Carman,OT,322,77,24,miami-dolphins
Jordan Colbert,DB,214,74,24,miami-dolphins
Matt Dickerson,DT,292,77,29,miami-dolphins
Erik Ezukanma,WR,206,74,24,miami-dolphins
Ryan Hayes,OT,305,79,24,miami-dolphins
Chasen Hines,C,320,75,24,miami-dolphins
Dequan Jackson,LB,225,73,25,miami-dolphins
Isaiah Johnson,DB,205,75,24,miami-dolphins
Bayron Matos,OT,313,79,23,miami-dolphins
Derrick McLendon,DE,250,76,24,miami-dolphins
Nik Needham,DB,196,73,28,miami-dolphins
Deneric Prince,RB,216,72,24,miami-dolphins
Hayden Rucci,TE,247,77,23,miami-dolphins
Tucker Addington,LS,230,74,27,miami-dolphins
Tim Boyle,QB,232,76,30,miami-dolphins
Robbie Chosen,WR,185,75,31,miami-dolphins
Lester Cotton,OG,325,76,28,miami-dolphins
David Long,LB,227,71,28,miami-dolphins
Matt Overton,LS,254,73,39,miami-dolphins
Brandon Pili,DT,319,75,25,miami-dolphins
Alex Austin,DB,191,73,23,new-england-patriots
Javon Baker,WR,202,73,22,new-england-patriots
Keshawn Banks,LB,255,75,24,new-england-patriots
Bryce Baringer,P,215,74,25,new-england-patriots
Christian Barmore,DT,315,77,25,new-england-patriots
Jaheim Bell,TE,241,74,23,new-england-patriots
Isaiah Bolden,DB,205,74,24,new-england-patriots
Kendrick Bourne,WR,205,73,29,new-england-patriots
Kayshon Boutte,WR,197,71,22,new-england-patriots
Jacoby Brissett,QB,235,76,30,new-england-patriots
Ben Brown,C,313,77,26,new-england-patriots
Joe Cardona,LS,245,74,32,new-england-patriots
Lester Cotton,OG,325,76,28,new-england-patriots
Marcellas Dial,DB,190,72,23,new-england-patriots
Demario Douglas,WR,192,68,23,new-england-patriots
Kyle Dugger,DB,216,73,28,new-england-patriots
Daniel Ekuale,DT,310,75,30,new-england-patriots
Christian Elliss,LB,231,74,25,new-england-patriots
Antonio Gibson,RB,220,74,26,new-england-patriots
Davon Godchaux,DT,330,75,30,new-england-patriots
Christian Gonzalez,DB,205,73,22,new-england-patriots
JaMycal Hasty,RB,205,68,28,new-england-patriots
Jaylinn Hawkins,DB,208,73,27,new-england-patriots
Hunter Henry,TE,249,77,29,new-england-patriots
Austin Hooper,TE,254,75,30,new-england-patriots
Demontrey Jacobs,OT,315,78,26,new-england-patriots
Anfernee Jennings,LB,255,74,27,new-england-patriots
Eric Johnson,DT,299,76,26,new-england-patriots
Jonathan Jones,DB,185,69,31,new-england-patriots
Marcus Jones,DB,188,68,26,new-england-patriots
Michael Jordan,OG,315,78,26,new-england-patriots
Titus Leo,LB,250,75,25,new-england-patriots
Vederian Lowe,OT,315,77,25,new-england-patriots
Marte Mapu,DB,230,75,25,new-england-patriots
Drake Maye,QB,225,76,22,new-england-patriots
Joe Milton,QB,235,77,24,new-england-patriots
Yannick Ngakoue,LB,250,75,29,new-england-patriots
Michael Onwenu,WR,203,71,27,new-england-patriots
Jabrill Peppers,DB,217,71,29,new-england-patriots
Dell Pettus,DB,200,71,23,new-england-patriots
Ja'Lynn Polk,WR,203,73,22,new-england-patriots
Layden Robinson,OG,311,75,23,new-england-patriots
Tyrese Robinson,OG,319,75,25,new-england-patriots
Jaquelin Roy,DT,305,75,24,new-england-patriots
Brenden Schooler,DB,210,74,27,new-england-patriots
Joey Slye,K,213,71,28,new-england-patriots
Lecitus Smith,C,314,75,26,new-england-patriots
Sidy Sow,OG,318,77,26,new-england-patriots
Rhamondre Stevenson,RB,227,72,26,new-england-patriots
Sione Takitaki,LB,238,73,29,new-england-patriots
Jahlani Tavai,LB,255,74,28,new-england-patriots
Keion White,DE,285,77,25,new-england-patriots
David Andrews,C,300,74,32,new-england-patriots
Jake Andrews,C,308,75,25,new-england-patriots
Ja'Whaun Bentley,LB,250,74,28,new-england-patriots
JaQuae Jackson,WR,184,73,24,new-england-patriots
Curtis Jacobs,LB,241,73,22,new-england-patriots
Caedan Wallace,OT,314,77,24,new-england-patriots
Oshane Ximines,LB,254,76,28,new-england-patriots
Chukwuma Okorafor,OT,320,78,27,new-england-patriots
Miles Battle,DB,197,75,24,new-england-patriots
Liam Fornadel,OT,312,76,25,new-england-patriots
Joe Giles-Harris,LB,234,74,27,new-england-patriots
Kevin Harris,RB,225,70,24,new-england-patriots
Marcus Harris,DT,298,74,24,new-england-patriots
Terrell Jennings,WR,205,75,24,new-england-patriots
Caleb Jones,OT,370,81,25,new-england-patriots
Mark Perry,DB,215,72,23,new-england-patriots
Monty Rice,LB,233,72,25,new-england-patriots
Jotham Russell,WR,190,73,25,new-england-patriots
Jack Westover,TE,248,75,25,new-england-patriots
Mitchell Wilcox,TE,247,76,28,new-england-patriots
Tucker Addington,LS,230,74,27,new-england-patriots
Trysten Hill,DT,310,75,26,new-england-patriots
Nick Leverett,OG,310,76,27,new-england-patriots
Ochaun Mathis,LB,260,77,25,new-england-patriots
Raekwon McMillan,LB,250,74,28,new-england-patriots
Zachary Thomas,OT,300,77,26,new-england-patriots
Tyquan Thornton,WR,182,74,24,new-england-patriots
Josh Uche,LB,240,73,26,new-england-patriots
Israel Abanikanda,RB,215,71,22,new-york-jets
Davante Adams,WR,215,73,31,new-york-jets
Tony Adams,DB,205,72,25,new-york-jets
Braelon Allen,RB,235,73,20,new-york-jets
Jarrick Bernard,DB,205,73,24,new-york-jets
Anders Carlson,K,220,77,26,new-york-jets
Michael Carter,DB,184,70,25,new-york-jets
Irvin Charles,WR,219,76,27,new-york-jets
Chuck Clark,DB,210,72,29,new-york-jets
Micheal Clemons,DE,270,77,27,new-york-jets
Tyler Conklin,TE,254,75,29,new-york-jets
Malachi Corley,WR,215,71,22,new-york-jets
Ashtyn Davis,DB,202,73,28,new-york-jets
Isaiah Davis,RB,220,73,22,new-york-jets
Brandin Echols,DB,175,70,27,new-york-jets
Samuel Eguavoen,LB,236,72,31,new-york-jets
Olu Fashanu,OT,312,78,21,new-york-jets
Ahmad Gardner,DB,200,75,24,new-york-jets
Xavier Gipson,WR,189,69,23,new-york-jets
Breece Hall,RB,220,73,23,new-york-jets
Jake Hanson,OG,296,76,27,new-york-jets
Thomas Hennessy,LS,246,74,30,new-york-jets
Javon Kinlaw,DT,319,77,27,new-york-jets
Marcelino McCrary-Ball,LB,214,72,25,new-york-jets
Will McDonald,DE,241,75,25,new-york-jets
Connor McGovern,C,306,76,31,new-york-jets
Braiden McGregor,DE,254,77,23,new-york-jets
Jalen Mills,DB,191,72,30,new-york-jets
Max Mitchell,OT,299,78,25,new-york-jets
Thomas Morstead,P,225,76,38,new-york-jets
Morgan Moses,LB,231,74,32,new-york-jets
Xavier Newman-Johnson,OG,297,74,25,new-york-jets
Kene Nwangwu,RB,213,73,26,new-york-jets
Isaiah Oliver,DB,210,72,28,new-york-jets
Haason Reddick,DB,188,69,28,new-york-jets
Aaron Rodgers,QB,223,74,41,new-york-jets
Jeremy Ruckert,TE,250,77,24,new-york-jets
Jamien Sherwood,LB,216,74,24,new-york-jets
John Simpson,OG,330,76,27,new-york-jets
Qwan'tez Stiggers,DB,197,72,22,new-york-jets
Chazz Surratt,LB,233,74,27,new-york-jets
Leonard Taylor,DT,303,75,22,new-york-jets
Tyrod Taylor,QB,215,73,35,new-york-jets
Solomon Thomas,DE,256,74,28,new-york-jets
Joe Tippmann,C,317,78,23,new-york-jets
Alijah Vera-Tucker,OG,308,77,25,new-york-jets
Carter Warren,OT,323,77,25,new-york-jets
Eric Watts,DE,274,77,24,new-york-jets
Quincy Williams,LB,225,71,28,new-york-jets
Quinnen Williams,DT,303,75,26,new-york-jets
Garrett Wilson,WR,192,72,24,new-york-jets
Zaire Barnes,LB,232,73,25,new-york-jets
Jimmy Ciarlo,LB,229,72,23,new-york-jets
Leki Fotu,DT,330,77,26,new-york-jets
Jermaine Johnson,LB,262,77,25,new-york-jets
Allen Lazard,WR,227,77,28,new-york-jets
Marcus Riley,WR,174,70,25,new-york-jets
Wes Schweitzer,OG,300,76,31,new-york-jets
Tyron Smith,OT,311,77,33,new-york-jets
Malik Taylor,WR,220,75,28,new-york-jets
Greg Zuerlein,K,187,72,36,new-york-jets
Jordan Travis,QB,200,73,24,new-york-jets
Brenden Bates,TE,255,77,25,new-york-jets
Jason Brownlee,WR,198,74,25,new-york-jets
Obinna Eze,OT,325,80,26,new-york-jets
Bruce Hector,DT,296,74,30,new-york-jets
Zonovan Knight,RB,209,70,23,new-york-jets
Zack Kuntz,TE,251,80,25,new-york-jets
Kohl Levao,OL,324,77,26,new-york-jets
Adrian Martinez,QB,220,74,24,new-york-jets
Takkarist McKinley,DE,250,74,29,new-york-jets
Jarius Monroe,DB,201,72,24,new-york-jets
Kendall Sheffield,DB,212,70,28,new-york-jets
Jackson Sirmon,LB,235,74,24,new-york-jets
Brandon Smith,WR,220,74,25,new-york-jets
Tre Swilling,DB,196,72,25,new-york-jets
Easop Winston,WR,192,72,27,new-york-jets
Anthony Firkser,TE,241,74,29,new-york-jets
Jalyn Holmes,DT,283,77,28,new-york-jets
Alec Lindstrom,C,300,75,26,new-york-jets
Riley Patterson,K,190,72,25,new-york-jets
Spencer Shrader,K,201,74,25,new-york-jets
Nelson Agholor,WR,200,72,31,baltimore-ravens
Rasheen Ali,RB,197,71,23,baltimore-ravens
Mark Andrews,TE,247,77,29,baltimore-ravens
Jalyn Armour-Davis,DB,197,73,25,baltimore-ravens
Rashod Bateman,WR,197,73,25,baltimore-ravens
Chris Board,LB,229,74,29,baltimore-ravens
Beau Brade,DB,203,72,22,baltimore-ravens
Ben Cleveland,OG,370,78,26,baltimore-ravens
Daniel Faalele,OG,380,80,25,baltimore-ravens
Zay Flowers,WR,182,69,24,baltimore-ravens
Kyle Hamilton,DB,220,76,23,baltimore-ravens
Malik Harrison,LB,259,75,26,baltimore-ravens
Derrick Henry,RB,247,74,30,baltimore-ravens
Justice Hill,RB,197,70,27,baltimore-ravens
Marlon Humphrey,DB,201,72,28,baltimore-ravens
Adisa Isaac,LB,253,76,23,baltimore-ravens
Lamar Jackson,QB,215,74,27,baltimore-ravens
Diontae Johnson,WR,183,70,28,baltimore-ravens
Josh Johnson,QB,214,75,38,baltimore-ravens
Josh Jones,OT,319,77,27,baltimore-ravens
Travis Jones,DT,338,76,25,baltimore-ravens
Sanoussi Kane,DB,207,71,23,baltimore-ravens
William Kwenkeu,LB,235,73,26,baltimore-ravens
Isaiah Likely,TE,241,76,24,baltimore-ravens
Tyler Linderbaum,C,305,74,24,baltimore-ravens
